page|70
项目|附注|2021 年度|2020 年度
一、营业总收入||1,484,315,403.55|1,413,131,464.92
其中：营业收入||1,484,315,403.55|1,413,131,464.92
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,326,871,966.03|1,178,306,288.84
其中：营业成本||1,108,625,370.11|988,277,300.23
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||6,263,181.76|6,738,646.06
销售费用||67,824,545.92|64,908,146.65
管理费用||84,461,661.88|62,334,641.41
研发费用||61,827,619.83|57,195,752.90
财务费用||-2,130,413.47|-1,148,198.41
page|71
其中：利息费用||266,092.98|669,674.79
利息收入||10,251,212.58|10,606,704.90
加：其他收益||9,956,187.08|7,609,126.04
投资收益（损失以“－”号填列）||5,656,544.09|7,780,098.68
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-1,172,000.00|1,172,000.00
信用减值损失（损失以“-”号填列）||-6,991,476.90|-4,501,521.18
资产减值损失（损失以“-”号填列）||-393,370.18|-610,039.68
资产处置收益（损失以“－”号填列）||-43,432.89|-964,718.80
三、营业利润（亏损以“－”号填列）||164,455,888.72|245,310,121.14
加：营业外收入||478,006.94|1,528,587.94
减：营业外支出||194,886.04|2,374,581.28
四、利润总额（亏损总额以“－”号填列）||164,739,009.62|244,464,127.80
减：所得税费用||17,522,673.58|31,059,251.86
五、净利润（净亏损以“－”号填列）||147,216,336.04|213,404,875.94
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||147,216,336.04|213,404,875.94
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||147,216,336.04|213,404,875.94
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
page|72
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||147,216,336.04|213,404,875.94
（一）归属于母公司所有者的综合收益总额||147,216,336.04|213,404,875.94
（二）归属于少数股东的综合收益总额|||
八、每股收益：|||
（一）基本每股收益(元/股)||0.89|1.30
（二）稀释每股收益(元/股)||0.89|1.30
