page|122
项目|附 注|2019 年度|2018 年度
一、营业总收入||29,285,923,753.07|25,316,620,559.18
其中：营业收入||29,285,923,753.07|25,316,620,559.18
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||28,050,319,332.51|24,891,561,030.62
其中：营业成本||24,588,751,143.44|21,902,929,738.56
利息支出|||
手续费及佣金支出|||
page|123
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||156,443,126.09|107,330,707.62
销售费用||684,985,798.18|670,894,266.18
管理费用||805,333,530.56|716,950,824.98
研发费用||1,170,847,023.31|1,014,176,545.96
财务费用||643,958,710.93|479,278,947.32
其中：利息费用||582,415,949.16|402,021,943.06
利息收入||21,374,207.56|13,864,941.83
加：其他收益||195,150,538.67|340,088,404.41
投资收益（损失以“－”号填列）||54,331,909.67|-4,136,848.41
其中：对联营企业和合营企业的投资收益||-11,454,967.89|-2,879,842.15
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||-3,151,825.00|
信用减值损失（损失以“-”号填列）||-5,492,085.64|
资产减值损失（损失以“-”号填列）||-64,624,044.97|-79,422,065.87
资产处置收益（损失以“－”号填列）||-1,459,779.07|6,721,645.74
三、营业利润（亏损以“－”号填列）||1,410,359,134.22|688,310,664.43
加：营业外收入||31,523,182.82|24,939,769.70
减：营业外支出||41,017,203.93|27,150,334.02
四、利润总额（亏损总额以“－”号填列）||1,400,865,113.11|686,100,100.11
减：所得税费用||136,621,177.92|61,115,040.01
五、净利润（净亏损以“－”号填列）||1,264,243,935.19|624,985,060.10
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,264,243,935.19|624,985,060.10
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,244,503,121.33|624,044,121.75
2.少数股东损益（净亏损以“-”号填列）||19,740,813.86|940,938.35
六、其他综合收益的税后净额||11,417,562.58|-2,325,675.18
（一）归属母公司所有者的其他综合收益的税后净额||11,417,562.58|-2,325,675.18
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||11,417,562.58|-2,325,675.18
（1）权益法下可转损益的其他综合收益||13,931,224.43|1,799,333.58
（2）其他债权投资公允价值变动|||
page|124
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-2,513,661.85|-4,125,008.76
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,275,661,497.77|622,659,384.92
（一）归属于母公司所有者的综合收益总额||1,255,920,683.91|621,718,446.57
（二）归属于少数股东的综合收益总额||19,740,813.86|940,938.35
八、每股收益：|||
（一）基本每股收益(元/股)||0.4740|0.2297
（二）稀释每股收益(元/股)||0.4740|0.2297
