page|125
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||26,958,618,550.19|20,895,523,985.93
客户存款和同业存放款项净增加额|||
page|126
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||134,923,335.65|134,309,769.09
收到其他与经营活动有关的现金||671,236,315.67|539,769,320.49
经营活动现金流入小计||27,764,778,201.51|21,569,603,075.51
购买商品、接受劳务支付的现金||22,315,533,714.77|18,782,885,153.02
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,061,287,921.61|1,013,288,797.60
支付的各项税费||687,304,466.86|472,428,138.21
支付其他与经营活动有关的现金||962,308,659.59|910,663,131.07
经营活动现金流出小计||25,026,434,762.83|21,179,265,219.90
经营活动产生的现金流量净额||2,738,343,438.68|390,337,855.61
二、投资活动产生的现金流量：|||
收回投资收到的现金||330,100,000.00|317,500,000.00
取得投资收益收到的现金||27,441,501.33|4,477,203.00
处置固定资产、无形资产和其他长期资产收回的现金净额||3,377,462.74|1,408,947.98
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||360,918,964.07|323,386,150.98
购建固定资产、无形资产和其他长期资产支付的现金||1,306,432,810.35|1,221,354,992.43
投资支付的现金||527,285,195.00|1,157,448,869.40
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||331,433,177.20|173,348,022.26
支付其他与投资活动有关的现金||3,000,000,000.00|
投资活动现金流出小计||5,165,151,182.55|2,552,151,884.09
投资活动产生的现金流量净额||-4,804,232,218.48|-2,228,765,733.11
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||27,400,000.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||14,605,798,509.16|9,127,303,472.41
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||14,633,198,509.16|9,127,303,472.41
偿还债务支付的现金||9,933,139,261.11|6,402,429,557.86
page|127
分配股利、利润或偿付利息支付的现金||759,079,986.28|533,065,609.74
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||677,618,285.81|50,268,170.44
筹资活动现金流出小计||11,369,837,533.20|6,985,763,338.04
筹资活动产生的现金流量净额||3,263,360,975.96|2,141,540,134.37
四、汇率变动对现金及现金等价物的影响||4,700,757.79|-2,637,613.33
五、现金及现金等价物净增加额||1,202,172,953.95|300,474,643.54
加：期初现金及现金等价物余额||1,510,738,611.44|1,210,263,967.90
六、期末现金及现金等价物余额||2,712,911,565.39|1,510,738,611.44
