page|91
项            目|附注|本期金额|上期金额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金|||24,666,223,791.25  23,671,653,964.33
收到的税费返还|||-
收到其他与经营活动有关的现金|六、49|7,239,384,505.26|9,792,810,819.57
经营活动现金流入小计|||31,905,608,296.51  33,464,464,783.90
购买商品、接受劳务支付的现金|||19,250,272,582.11  15,481,598,420.18
支付给职工以及为职工支付的现金||1,007,011,835.85|984,921,480.37
支付的各项税费||3,711,512,189.17|3,920,547,360.97
支付其他与经营活动有关的现金|六、49|4,043,804,273.04|3,187,519,654.53
经营活动现金流出小计|||28,012,600,880.17  23,574,586,916.05
经营活动产生的现金流量净额||3,893,007,416.34|9,889,877,867.85
二、投资活动产生的现金流量：|||
收回投资收到的现金||244,297,570.09|333,000,000.00
取得投资收益收到的现金||79,175,131.86|18,326,689.39
处置固定资产、无形资产和其他长期资产收回的现金净额||36,933,682.38|124,658.25
处置子公司及其他营业单位收到的现金净额||4,525,942,768.00|-
收到其他与投资活动有关的现金||-|-
投资活动现金流入小计||4,886,349,152.33|351,451,347.64
购置固定资产、无形资产和其他长期资产支付的现金||64,012,207.96|52,601,772.79
投资支付的现金||-|261,000,000.00
取得子公司及其他营业单位支付的现金净额||746,824,533.58|460,857,766.04
支付其他与投资活动有关的现金||-|-
投资活动现金流出小计||810,836,741.54|774,459,538.83
投资活动产生的现金流量净额||4,075,512,410.79|-423,008,191.19
page|92
项            目|附注|本期金额|上期金额
三、筹资活动产生的现金流量：|||-
吸收投资收到的现金||1,605,321,000.00|15,000,000.00
其中：子公司吸收少数股东投资收到的现金||1,605,321,000.00|15,000,000.00
取得借款收到的现金|||23,455,874,095.41  45,736,493,519.27
收到其他与筹资活动有关的现金|六、49|2,840,000,000.00|1,500,000,000.00
筹资活动现金流入小计|||27,901,195,095.41  47,251,493,519.27
偿还债务支付的现金|||30,742,942,752.97  42,699,575,293.86
分配股利、利润或偿付利息支付的现金||5,033,331,813.56|6,012,393,458.18
其中：子公司支付少数股东的股利、利润||125,800,000.00|415,307,129.84
支付其他与筹资活动有关的现金|六、49|1,120,225,322.90|215,000,000.00
其中：子公司减资支付给少数股东的现金|六、49|35,000,000.00|
筹资活动现金流出小计|||36,896,499,889.43  48,926,968,752.04
筹资活动产生的现金流量净额||-8,995,304,794.02|-1,675,475,232.77
四、汇率变动对现金及现金等价物的影响||112,669.54|-93,277.07
五、现金及现金等价物净增加额||-1,026,672,297.35|7,791,301,166.82
加：期初现金及现金等价物余额|||18,705,144,141.72  10,913,842,974.90
六、期末现金及现金等价物余额|||17,678,471,844.37  18,705,144,141.72
