page|89
项      目|附注|本期金额|上期金额
一、营业收入|六、35|24,155,313,629.19|18,121,373,449.03
减：营业成本|六、35|18,974,710,113.71|12,166,665,390.77
税金及附加|六、36|944,700,911.38|1,298,343,457.34
销售费用|六、37|982,968,520.79|923,275,601.45
管理费用|六、38|429,602,688.01|334,797,095.63
研发费用||-|-
财务费用|六、39|1,319,388,769.38|-1,451,665,388.45
其中：利息费用|六、39|2,066,014,524.03|2,123,968,663.56
利息收入|六、39|758,194,998.49|3,599,250,500.45
加：其他收益|六、40|29,465,917.66|39,657,944.97
投资收益(损失以“-”号填列）|六、41|1,012,258,536.40|-166,739,887.36
其中：对联营企业和合营企业的投资收益|六、41|213,684,983.51|-185,066,576.75
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||
公允价值变动收益(损失以“-”号填列）|六、42|853,513,310.82|-427,997,782.82
信用减值损失(损失以“-”号填列）|六、43|5,944,901.79|-38,208,148.50
资产减值损失(损失以“-”号填列）|六、44|-737,324,675.27|-900,071,643.79
资产处置收益(损失以“-”号填列）|六、45|5,642,307.89|-335,103.12
二、营业利润(亏损以“-”号填列）||2,673,442,925.21|3,356,262,671.67
加：营业外收入|六、46|33,028,627.56|139,412,021.86
减：营业外支出|六、47|7,970,461.80|35,137,003.11
三、利润总额(亏损总额以“-”号填列）||2,698,501,090.97|3,460,537,690.42
减：所得税费用|六、48|1,117,323,927.83|1,242,069,766.42
四、净利润(净亏损以“-”号填列）||1,581,177,163.14|2,218,467,924.00
（一）按经营持续性分类：|||
其中：持续经营净利润（净亏损以“-”号填列）||1,581,177,163.14|2,218,467,924.00
终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类：|||
其中：  归属于母公司股东的净利润（净亏损以“-”号填列）||1,642,803,603.61|2,498,437,474.76
少数股东损益（净亏损以“-”号填列）||-61,626,440.47|-279,969,550.76
五、其他综合收益的税后净额||-19,252,320.06|-4,503,637.67
page|90
项      目|附注|本期金额|上期金额
归属于母公司股东的其他综合收益的税后净额||-19,252,320.06|-4,541,653.43
（一）不能重分类进损益的其他综合收益||-388,132.29|-
1、重新计量设定受益计划变动额|||
2、权益法下不能转损益的其他综合收益||-388,132.29|
（二）将重分类进损益的其他综合收益||-18,864,187.77|-4,541,653.43
1、权益法下可转损益的其他综合收益|||
2、其他债权投资公允价值变动|||
3、金融资产重分类计入其他综合收益的金额|||
4、其他债权投资信用减值准备|||
5、外币财务报表折算差额||-31,099.56|-87,827.43
6、自用房地产或作为存货的房地产转换为以公允价值计量的投资性房地产在转换日公允价值大于账面价值部分||-18,833,088.21|-4,453,826.00
7、多次交易分步处置子公司股权构成一揽子交易的，丧失控制权之前各次交易处置价款与对应净资产账面价值份额的差额|||
归属于少数股东的其他综合收益的税后净额|||38,015.76
六、综合收益总额||1,561,924,843.08|2,213,964,286.33
归属于母公司股东的综合收益总额||1,623,551,283.55|2,493,895,821.33
归属于少数股东的综合收益总额||-61,626,440.47|-279,931,535.00
七、每股收益|||
（一）基本每股收益||0.55|0.84
（二）稀释每股收益||0.55|0.84
