page|65
项      目|附注|2021 年度|2020 年度
一、营业总收入|五、34|2,347,280,300.56|2,144,181,738.33
其中：营业收入|五、34|2,347,280,300.56|2,144,181,738.33
二、营业总成本||2,215,147,036.43|1,996,500,782.99
其中：营业成本|五、34|2,015,430,296.43|1,756,750,317.90
税金及附加|五、35|10,080,351.89|12,053,801.96
销售费用|五、36|21,045,003.77|55,857,793.41
管理费用|五、37|73,921,676.82|82,381,345.47
研发费用|五、38|64,037,360.74|61,944,782.42
财务费用|五、39|30,632,346.78|27,512,741.83
其中:利息费用||26,060,552.41|433,614.88
利息收入||9,890,980.23|14,782,907.49
加：其他收益|五、40|4,786,030.51|6,241,497.95
投资收益（损失以“-”号填列）|五、41|63,493,757.14|43,371,745.54
其中：对联营企业和合营企业的投资收益||-|-
以摊余成本计量的金融资产终止确认收益||-|-
净敞口套期收益（损失以“-”号填列）||-|-
公允价值变动收益（损失以“-”号填列）|五、42|-15,100,872.22|17,840,011.00
信用减值损失（损失以“-”号填列）|五、43|1,295,024.60|-41,845.03
资产减值损失（损失以“-”号填列）|五、44|-9,275,519.35|-9,241,368.18
资产处置收益（损失以“-”号填列）|五、45|2,101,750.59|195,318.03
三、营业利润（亏损以“-”号填列）||179,433,435.40|206,046,314.65
加：营业外收入|五、46|5,236,403.37|5,986,192.66
减：营业外支出|五、47|359,939.97|1,317,230.70
四、利润总额（亏损总额以“-”号填列）||184,309,898.80|210,715,276.61
减：所得税费用|五、48|20,883,176.71|24,744,852.06
五、净利润（净亏损以“-”号填列）||163,426,722.09|185,970,424.55
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“-”号填列）||163,426,722.09|185,970,424.55
2.终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司所有者的净利润（净亏损以“-”号填列）||122,249,955.82|139,522,190.75
2.少数股东损益（净亏损以“-”号填列）||41,176,766.27|46,448,233.80
六、其他综合收益的税后净额|五、49|-2,859,462.01|-7,588,915.97
（一）归属于母公司所有者的其他综合收益的税后净额|五、49|-2,144,596.51|-5,691,686.98
1. 不能重分类进损益的其他综合收益|五、49|9,453.29|70,226.49
（1）重新计量设定受益计划变动额|五、49|9,453.29|70,226.49
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2. 将重分类进损益的其他综合收益|五、49|-2,154,049.80|-5,761,913.47
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|五、49|-2,154,049.80|-5,761,913.47
（二）归属于少数股东的其他综合收益的税后净额|五、49|-714,865.50|-1,897,228.99
七、综合收益总额||160,567,260.08|178,381,508.58
（一）归属于母公司所有者的综合收益总额||120,105,359.31|133,830,503.77
（二）归属于少数股东的综合收益总额||40,461,900.77|44,551,004.81
八、每股收益|||
（一）基本每股收益（元/股）|十四、2|0.66|0.75
（二）稀释每股收益（元/股）|十四、2|0.66|0.75
