page|66
项   目|附注|2021 年度|2020 年度
一、经营活动产生的现金流量|||
销售商品、提供劳务收到的现金||2,467,884,094.36|1,933,508,028.72
收到的税费返还||176,598,405.86|128,505,987.51
收到其他与经营活动有关的现金|五、50|66,077,494.67|79,028,235.30
经营活动现金流入小计||2,710,559,994.89|2,141,042,251.53
购买商品、接受劳务支付的现金||2,161,935,854.62|1,400,547,701.80
支付给职工以及为职工支付的现金||310,074,818.82|282,939,721.63
支付的各项税费||35,006,772.54|33,505,720.46
支付其他与经营活动有关的现金|五、50|55,016,977.03|108,778,024.40
经营活动现金流出小计||2,562,034,423.01|1,825,771,168.29
经营活动产生的现金流量净额||148,525,571.88|315,271,083.24
二、投资活动产生的现金流量|||
收回投资收到的现金||1,095,335,804.49|566,712,167.00
取得投资收益收到的现金||26,751,128.55|20,450,321.92
处置固定资产、无形资产和其他长期资产收回的现金净额||3,990,381.19|3,312,025.54
处置子公司及其他营业单位收到的现金净额||-|-
收到其他与投资活动有关的现金|五、50|8,177,394.14|266,214,151.16
投资活动现金流入小计||1,134,254,708.37|856,688,665.62
购建固定资产、无形资产和其他长期资产支付的现金||50,372,910.09|45,058,052.50
投资支付的现金||782,906,043.05|760,815,847.78
取得子公司及其他营业单位支付的现金净额||-|-
支付其他与投资活动有关的现金|五、50|262,620,000.00|266,214,151.16
投资活动现金流出小计||1,095,898,953.14|1,072,088,051.44
投资活动产生的现金流量净额||38,355,755.23|-215,399,385.82
三、筹资活动产生的现金流量|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||108,345,140.00|97,907,340.00
收到其他与筹资活动有关的现金|五、50|52,022,663.06|-
筹资活动现金流入小计||160,367,803.06|97,907,340.00
偿还债务支付的现金||124,463,640.00|80,248,680.00
分配股利、利润或偿付利息支付的现金||66,781,457.47|45,359,949.52
其中：子公司支付给少数股东的股利、利润||38,273,165.53|26,395,184.93
支付其他与筹资活动有关的现金|五、50|56,064,010.42|34,993,391.52
筹资活动现金流出小计||247,309,107.89|160,602,021.04
筹资活动产生的现金流量净额||-86,941,304.83|-62,694,681.04
四、汇率变动对现金及现金等价物的影响||-1,890,055.38|-3,999,011.68
五、现金及现金等价物净增加额||98,049,966.90|33,178,004.70
加：期初现金及现金等价物余额||672,801,206.68|639,623,201.98
六、期末现金及现金等价物余额||770,851,173.58|672,801,206.68
