page|74
项目|附注五|2020 年度|2019 年度
一、营业总收入|27|713,990,084.02|698,223,676.08
其中：营业收入||713,990,084.02|698,223,676.08
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||504,441,118.12|521,761,499.43
其中：营业成本|27|362,704,768.73|358,556,771.59
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|28|8,074,646.42|5,899,033.68
销售费用|29|91,492,954.52|93,917,890.14
管理费用|30|30,879,367.72|37,974,306.62
研发费用|31|26,557,625.11|28,165,665.05
财务费用|32|-15,268,244.38|-2,752,167.65
其中：利息费用|||
利息收入||-15,368,107.73|-2,903,380.59
加：其他收益|33|14,161,863.03|16,725,450.43
投资收益（损失以“－”号填列）|34|4,709,700.24|9,414,696.19
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|35|-7,556.23|3,895,151.56
信用减值损失（损失以“-”号填列）|36|237,401.11|-94,253.16
资产减值损失（损失以“-”号填列）|37|-55,664.83|-716,135.44
page|75
资产处置收益（损失以“－”号填列）|||
三、营业利润（亏损以“－”号填列）||228,594,709.22|205,687,086.23
加：营业外收入|38|296,079.26|605,373.60
减：营业外支出|39|1,794,599.58|958,500.80
四、利润总额（亏损总额以“－”号填列）||227,096,188.90|205,333,959.03
减：所得税费用|41|32,836,401.25|31,367,328.26
五、净利润（净亏损以“－”号填列）||194,259,787.65|173,966,630.77
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||194,259,787.65|173,966,630.77
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||194,259,787.65|173,966,630.77
2.少数股东损益（净亏损以“-”号填列）|||
六、其他综合收益的税后净额||194,259,787.65|173,966,630.77
（一）归属母公司所有者的其他综合收益的税后净额||194,259,787.65|173,966,630.77
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值|||
page|76
准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||194,259,787.65|173,966,630.77
（一）归属于母公司所有者的综合收益总额||194,259,787.65|173,966,630.77
（二）归属于少数股东的综合收益总额|||
八、每股收益：|42||
（一）基本每股收益(元/股)||1.70|1.65
（二）稀释每股收益(元/股)||1.70|1.65
