page|79
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||774,104,862.82|780,452,481.32
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||2,936,697.60
收到其他与经营活动有关的现金|43|24,559,997.17|21,958,612.79
经营活动现金流入小计||798,664,859.99|805,347,791.71
购买商品、接受劳务支付的现金||357,802,041.03|308,384,774.60
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||79,745,269.68|89,370,872.23
支付的各项税费||69,741,043.17|67,162,347.86
支付其他与经营活动有关|43|117,643,776.53|97,082,746.32
page|80
的现金|||
经营活动现金流出小计||624,932,130.41|562,000,741.01
经营活动产生的现金流量净额|44|173,732,729.58|243,347,050.70
二、投资活动产生的现金流量：|||
收回投资收到的现金||394,650,000.00|882,800,000.00
取得投资收益收到的现金||5,500,554.48|9,438,999.31
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||400,150,554.48|892,238,999.31
购建固定资产、无形资产和其他长期资产支付的现金||246,063,107.66|51,617,435.99
投资支付的现金||393,640,000.00|1,075,070,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||639,703,107.66|1,126,687,435.99
投资活动产生的现金流量净额||-239,552,553.18|-234,448,436.68
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||803,707,520.00|
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||803,707,520.00|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|43|14,831,800.00|775,471.70
page|81
筹资活动现金流出小计||14,831,800.00|775,471.70
筹资活动产生的现金流量净额||788,875,720.00|-775,471.70
四、汇率变动对现金及现金等价物的影响||-3,645.72|-302.33
五、现金及现金等价物净增加额||723,052,250.68|8,122,839.99
加：期初现金及现金等价物余额||81,069,390.61|72,946,550.62
六、期末现金及现金等价物余额|44|804,121,641.29|81,069,390.61
