page|65
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||15,586,394,912.18|14,209,015,450.48
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|54(1)|119,262,556.27|97,723,234.67
经营活动现金流入小计||15,705,657,468.45|14,306,738,685.15
购买商品、接受劳务支付的现金||11,123,666,753.49|10,533,433,523.00
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
page|66
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,055,970,664.18|981,900,933.81
支付的各项税费||635,288,333.87|508,890,527.14
支付其他与经营活动有关的现金|54(2)|445,285,921.75|427,834,315.51
经营活动现金流出小计||13,260,211,673.29|12,452,059,299.46
经营活动产生的现金流量净额|55(1)|2,445,445,795.16|1,854,679,385.69
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||133,227,427.41|115,227,152.17
处置固定资产、无形资产和其他长期资产收回的现金净额||2,287,901.35|24,957,438.45
处置子公司及其他营业单位收到的现金净额||11,050,153.57|
收到其他与投资活动有关的现金|54(3)|1,045,334,126.44|2,003,018,463.28
投资活动现金流入小计||1,191,899,608.77|2,143,203,053.90
购建固定资产、无形资产和其他长期资产支付的现金||988,230,032.93|1,197,706,059.25
投资支付的现金||36,399,880.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|55(2)|1,087,994,655.58|339,566,051.09
支付其他与投资活动有关的现金|54(4)|1,328,528,500.00|1,326,200,000.00
投资活动现金流出小计||3,441,153,068.51|2,863,472,110.34
投资活动产生的现金流量净额||-2,249,253,459.74|-720,269,056.44
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||4,000,000.00|19,794,000.00
其中：子公司吸收少数股东投资收到的现金||4,000,000.00|19,794,000.00
取得借款收到的现金||3,724,112,970.14|3,986,276,484.96
收到其他与筹资活动有关的现金|||
发行债券收到的现金||1,000,000,000.00|2,298,100,000.00
筹资活动现金流入小计||4,728,112,970.14|6,304,170,484.96
偿还债务支付的现金||4,218,317,795.59|6,472,559,553.61
分配股利、利润或偿付利息支付的现金||654,529,835.20|493,725,556.99
其中：子公司支付给少数股东的股利、利润||8,916,206.64|6,741,207.52
page|67
支付其他与筹资活动有关的现金|54(6)|15,825,591.00|4,331,446.00
筹资活动现金流出小计||4,888,673,221.79|6,970,616,556.60
筹资活动产生的现金流量净额||-160,560,251.65|-666,446,071.64
四、汇率变动对现金及现金等价物的影响||896,532.81|2,625,632.16
五、现金及现金等价物净增加额|55(1)|36,528,616.58|470,589,889.77
加：期初现金及现金等价物余额|55(1)|2,931,611,889.22|2,461,021,999.45
六、期末现金及现金等价物余额|55(3)|2,968,140,505.80|2,931,611,889.22
