page|61
项目|附注七|2019 年度|2018 年度
一、营业总收入||14,025,273,714.19|12,741,389,910.39
其中：营业收入|38|14,025,273,714.19|12,741,389,910.39
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||12,817,446,211.31|11,639,622,894.24
其中：营业成本|38|11,006,642,939.26|10,071,444,032.60
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
page|62
分保费用|||
税金及附加|39|85,960,483.68|58,256,725.07
销售费用|40|1,092,307,483.20|957,233,000.38
管理费用|41|219,218,194.23|172,621,056.23
研发费用|42|232,189,887.13|219,223,271.19
财务费用|43|181,127,223.81|160,844,808.77
其中：利息费用||188,367,413.62|182,726,684.03
利息收入||25,191,785.30|32,495,654.56
加：其他收益|44|31,835,262.37|26,875,651.36
投资收益（损失以“－”号填列）|45|137,460,868.35|124,654,509.78
其中：对联营企业和合营企业的投资收益||-4,824,104.36|-3,662,331.42
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|46|290,295.94|
信用减值损失（损失以“-”号填列）|47|-2,269,087.99|
资产减值损失（损失以“-”号填列）|48|-45,894,896.26|556,859.17
资产处置收益（损失以“－”号填列）|49|-600,107.37|19,639,071.37
三、营业利润（亏损以“－”号填列）||1,328,649,837.92|1,273,493,107.83
加：营业外收入|50|13,573,626.58|9,326,243.82
减：营业外支出|51|17,736,763.68|13,365,138.88
四、利润总额（亏损总额以“－”号填列）||1,324,486,700.82|1,269,454,212.77
减：所得税费用|52|215,237,828.82|194,706,963.37
五、净利润（净亏损以“－”号填列）||1,109,248,872.00|1,074,747,249.40
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,109,248,872.00|1,074,747,249.40
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,057,831,208.63|1,030,929,806.22
2.少数股东损益（净亏损以“-”号填列）||51,417,663.37|43,817,443.18
六、其他综合收益的税后净额||13,504,122.27|
（一）归属母公司所有者的其他综合收益的税后净额||13,504,122.27|
1．不能重分类进损益的其他综合收益||13,504,122.27|
page|63
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||13,504,122.27|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,122,752,994.27|1,074,747,249.40
（一）归属于母公司所有者的综合收益总额||1,071,335,330.90|1,030,929,806.22
（二）归属于少数股东的综合收益总额||51,417,663.37|43,817,443.18
八、每股收益：|||
（一）基本每股收益(元/股)|53(1)|0.37|0.36
（二）稀释每股收益(元/股)|53(2)|0.37|0.36
