page|118
项目|附 注|2020 年度|2019 年度
一、营业总收入||17,157,783,238.42|7,197,680,121.94
其中：营业收入||17,157,783,238.42|7,197,680,121.94
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||16,734,955,424.97|6,952,817,552.77
其中：营业成本||16,566,090,945.09|6,743,980,685.35
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||9,142,036.86|9,166,971.80
销售费用||85,760,611.98|138,975,459.97
管理费用||44,089,861.93|35,091,862.42
研发费用||29,217,856.89|17,290,079.82
财务费用||654,112.22|8,312,493.41
其中：利息费用||16,311,629.47|8,468,431.61
利息收入||17,310,228.15|816,642.11
加：其他收益||24,089,915.76|3,746.75
投资收益（损失以“－”号填列）||10,258,489.27|-1,755,603.70
其中：对联营企业和合营企业的投资收益||160,642.11|-62,458.32
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||1,500,000.00|
信用减值损失（损失以“-”号填列）||-462,749.05|-4,715,372.34
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）||-39,880.14|
三、营业利润（亏损以“－”号填列）||458,173,589.29|238,395,339.88
page|119
加：营业外收入||12,113,365.43|4,341,882.10
减：营业外支出||169,303.02|100,983.02
四、利润总额（亏损总额以“－”号填列）||470,117,651.70|242,636,238.96
减：所得税费用||112,118,027.19|56,030,525.71
五、净利润（净亏损以“－”号填列）||357,999,624.51|186,605,713.25
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||357,999,624.51|186,605,713.25
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||304,482,697.92|158,942,121.75
2.少数股东损益（净亏损以“-”号填列）||53,516,926.59|27,663,591.50
六、其他综合收益的税后净额||33.59|
（一）归属母公司所有者的其他综合收益的税后净额||27.00|
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||27.00|
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||27.00|
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||6.59|
七、综合收益总额||357,999,658.10|186,605,713.25
（一）归属于母公司所有者的综合收益总额||304,482,724.92|158,942,121.75
（二）归属于少数股东的综合收益总额||53,516,933.18|27,663,591.50
八、每股收益：|||
（一）基本每股收益(元/股)||1.47|0.91
page|120
（二）稀释每股收益(元/股)||1.47|0.91
