page|105
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,731,139,378.19|1,346,171,138.72
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
page|106
代理买卖证券收到的现金净额|||
收到的税费返还||50,060,095.88|25,632,178.51
收到其他与经营活动有关的现金||32,936,262.01|48,898,053.05
经营活动现金流入小计||1,814,135,736.08|1,420,701,370.28
购买商品、接受劳务支付的现金||1,388,574,131.14|846,278,800.20
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||260,431,833.52|199,011,668.82
支付的各项税费||26,497,956.87|19,243,680.64
支付其他与经营活动有关的现金||63,779,947.60|46,842,139.49
经营活动现金流出小计||1,739,283,869.13|1,111,376,289.15
经营活动产生的现金流量净额||74,851,866.95|309,325,081.13
二、投资活动产生的现金流量：|||
收回投资收到的现金||227,274.61|20,000,000.00
取得投资收益收到的现金||1,569,541.24|1,951,404.38
处置固定资产、无形资产和其他长期资产收回的现金净额||7,205,497.40|1,634,810.12
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金||330,806,631.07|281,975,695.51
投资活动现金流入小计||339,808,944.32|305,561,910.01
购建固定资产、无形资产和其他长期资产支付的现金||128,248,925.52|83,155,350.52
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||194,751,400.00|366,827,377.12
投资活动现金流出小计||323,000,325.52|449,982,727.64
投资活动产生的现金流量净额||16,808,618.80|-144,420,817.63
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||186,858,500.00|65,990,324.35
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||186,858,500.00|65,990,324.35
偿还债务支付的现金||98,246,040.00|64,951,083.96
分配股利、利润或偿付利息支付的现||24,046,117.05|94,463,048.16
page|107
金|||
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||1,096,558.42|
筹资活动现金流出小计||123,388,715.47|159,414,132.12
筹资活动产生的现金流量净额||63,469,784.53|-93,423,807.77
四、汇率变动对现金及现金等价物的影响||-8,521,240.93|-12,989,500.62
五、现金及现金等价物净增加额||146,609,029.35|58,490,955.11
加：期初现金及现金等价物余额||118,006,431.93|59,515,476.82
六、期末现金及现金等价物余额||264,615,461.28|118,006,431.93
