page|94
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||1,711,187,906.22|2,257,411,830.12
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||10,065,547.96|
收到其他与经营活动有关的现金||58,797,492.70|26,496,514.72
经营活动现金流入小计||1,780,050,946.88|2,283,908,344.84
page|95
购买商品、接受劳务支付的现金||1,570,503,675.77|1,935,881,469.32
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||119,076,332.44|105,198,842.70
支付的各项税费||11,577,217.93|98,215,758.24
支付其他与经营活动有关的现金||40,535,395.76|241,594,824.99
经营活动现金流出小计||1,741,692,621.90|2,380,890,895.25
经营活动产生的现金流量净额||38,358,324.98|-96,982,550.41
二、投资活动产生的现金流量：|||
收回投资收到的现金|||19,852,846.55
取得投资收益收到的现金|||2,053,680.00
处置固定资产、无形资产和其他长期资产收回的现金净额|||14,890,132.02
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计|||36,796,658.57
购建固定资产、无形资产和其他长期资产支付的现金||45,787,010.66|90,348,554.67
投资支付的现金|||18,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||21,207,250.67|267,559,448.13
投资活动现金流出小计||66,994,261.33|376,408,002.80
投资活动产生的现金流量净额||-66,994,261.33|-339,611,344.23
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,317,739,010.48|1,068,617,700.00
收到其他与筹资活动有关的现金||267,588,144.76|186,631,595.23
筹资活动现金流入小计||1,585,327,155.24|1,255,249,295.23
偿还债务支付的现金||978,619,928.73|1,497,005,007.63
分配股利、利润或偿付利息支付的现金||82,431,945.30|105,138,830.81
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||514,999,869.71|123,207,310.41
筹资活动现金流出小计||1,576,051,743.74|1,725,351,148.85
筹资活动产生的现金流量净额||9,275,411.50|-470,101,853.62
page|96
四、汇率变动对现金及现金等价物的影响||37.02|14,593.38
五、现金及现金等价物净增加额||-19,360,487.83|-906,681,154.88
加：期初现金及现金等价物余额||34,321,381.92|941,002,536.80
六、期末现金及现金等价物余额||14,960,894.09|34,321,381.92
