page|75
项目|2019 年度||2018 年度|
|合并|公司|合并|公司
一、经营活动产生的现金流量：||||
销售商品、提供劳务收到的现金|3,682,281,652.22|37,040,828.95|4,113,756,521.72|43,165,313.04
收到的税费返还|9,364,298.79||138,943,587.83|1,276,627.24
收到其他与经营活动有关的现金|318,734,232.29|557,451,805.09|431,800,250.17|186,312,970.70
经营活动现金流入小计|4,010,380,183.30|594,492,634.04|4,684,500,359.72|230,754,910.98
购买商品、接受劳务支付的现金|1,580,857,097.28|43,164,463.16|2,072,835,550.96|52,824,382.60
支付给职工以及为职工支付的现金|1,973,073,182.22|39,890,259.51|1,961,470,780.19|42,723,037.18
支付的各项税费|181,773,703.00|8,643,660.96|208,348,744.50|2,470,185.09
支付其他与经营活动有关的现金|307,157,267.10|712,008,611.37|575,991,598.20|1,814,153,224.94
经营活动现金流出小计|4,042,861,249.60|803,706,995.00|4,818,646,673.85|1,912,170,829.81
经营活动产生的现金流量净额|-32,481,066.30|-209,214,360.96|-134,146,314.13|-1,681,415,918.83
二、投资活动产生的现金流量：||||-1,681,415,918.83
收回投资收到的现金|971,172,808.25|72,500,000.00|226,530,102.54|33,757,592.85
取得投资收益收到的现金|124,230,939.65|258,739,627.49|96,154,464.18|260,230,487.20
处置固定资产、无形资产和其他长期资产收回的现金净额|4,128,542.78||272,540.87|
处置子公司及其他营业单位收到的现金|3,938,103.89||2,135,947,206.67|2,171,940,000.00
收到其他与投资活动有关的现金|37,723,009.79|164,815,164.77|14,507,047.04|130,979,670.28
投资活动现金流入小计|1,141,193,404.36|496,054,792.26|2,473,411,361.30|2,596,907,750.33
购置固定资产、无形资产和其他长期资产支付的现金|122,984,699.35|225,711.24|1,297,768,106.62|326,100.15
投资支付的现金|202,073,320.12|36,819,951.75|430,627,787.54|18,350,867.00
取得子公司及其他营业单位支付的现金净额||||
支付其他与投资活动有关的现金||||
投资活动现金流出小计|325,058,019.47|37,045,662.99|1,728,395,894.16|18,676,967.15
投资活动产生的现金流量净额|816,135,384.89|459,009,129.27|745,015,467.14|2,578,230,783.18
三、筹资活动产生的现金流量：||||
吸收投资收到的现金|||2,000,000.00|
其中：子公司吸收少数股东权益性投资收到的现金|||2,000,000.00|
取得借款收到的现金|1,163,188,400.00|1,092,408,400.00|4,750,455,427.00|3,268,400,000.00
收到其他与筹资活动有关的现金||1,092,408,400.00||
筹资活动现金流入小计|1,163,188,400.00|1,092,408,400.00|4,752,455,427.00|3,268,400,000.00
偿还债务支付的现金|1,843,389,230.27|1,208,495,456.66|5,322,469,619.73|3,930,000,000.00
分配股利、利润或偿付利息支付的现金|303,640,460.65|209,129,942.49|702,277,386.25|449,711,575.08
其中：子公司支付少数股东的现金股|11,250,000.00||61,029,150.00|
支付其他与筹资活动有关的现金|1,191,381.96|25,036.70|22,029,284.68|4,491,984.38
筹资活动现金流出小计|2,148,221,072.88|1,417,650,435.85|6,046,776,290.66|4,384,203,559.46
筹资活动产生的现金流量净额|-985,032,672.88|-325,242,035.85|-1,294,320,863.66|-1,115,803,559.46
四、汇率变动对现金及现金等价物的影|348,043.13|133.70|1,979,618.21|386.04
五、现金及现金等价物净增加额|-201,030,311.16|-75,447,133.84|-681,472,092.44|-218,988,309.07
加：期初现金及现金等价物余额|560,607,627.64|76,315,276.37|1,242,079,720.08|295,303,585.44
六、期末现金及现金等价物余额|359,577,316.48|868,142.53|560,607,627.64|76,315,276.37
