page|78
项目|附注|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,224,009,467.03|5,362,134,913.14
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||58,402,743.35|23,718,669.28
经营活动现金流入小计||6,282,412,210.38|5,385,853,582.42
page|79
购买商品、接受劳务支付的现金||5,734,682,400.18|5,151,192,952.49
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||213,946,419.47|137,316,107.64
支付的各项税费||54,458,803.93|50,445,301.48
支付其他与经营活动有关的现金||95,996,748.35|70,272,760.65
经营活动现金流出小计||6,099,084,371.93|5,409,227,122.26
经营活动产生的现金流量净额||183,327,838.45|-23,373,539.84
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||837,000.00|129,520.55
处置固定资产、无形资产和其他长期资产收回的现金净额||24,100.00|40,259.81
处置子公司及其他营业单位收到的现金净额||-|4,600,000.00
收到其他与投资活动有关的现金||-|50,000,000.00
投资活动现金流入小计||861,100.00|54,769,780.36
购建固定资产、无形资产和其他长期资产支付的现金||9,307,670.28|7,098,789.56
投资支付的现金||4,000,000.00|2,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||79,000,000.00|68,000,000.00
支付其他与投资活动有关的现金||-|50,000,000.00
投资活动现金流出小计||92,307,670.28|127,098,789.56
投资活动产生的现金流量净额||-91,446,570.28|-72,329,009.20
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||140,000.00|-
其中：子公司吸收少数股东投资收到的现金||140,000.00|
取得借款收到的现金||190,000,000.00|150,000,000.00
page|80
收到其他与筹资活动有关的现金||14,715,242.02|24,792,380.38
筹资活动现金流入小计||204,855,242.02|174,792,380.38
偿还债务支付的现金||254,500,000.00|152,500,000.00
分配股利、利润或偿付利息支付的现金||9,579,384.20|11,948,747.32
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||26,216,447.36|32,130,003.62
筹资活动现金流出小计||290,295,831.56|196,578,750.94
筹资活动产生的现金流量净额||-85,440,589.54|-21,786,370.56
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||6,440,678.63|-117,488,919.60
加：期初现金及现金等价物余额||198,204,786.03|315,693,705.63
六、期末现金及现金等价物余额||204,645,464.66|198,204,786.03
