page|57
项目|附注七|2019 年度|2018 年度
一、营业总收入|59|29,835,741,351.66|33,176,537,435.18
其中：营业收入||29,835,741,351.66|33,176,537,435.18
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|59|29,504,538,035.22|31,249,656,150.69
其中：营业成本||26,898,553,940.97|28,982,835,017.51
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|60|186,593,028.97|284,030,920.22
销售费用|61|297,008,318.31|284,500,735.22
管理费用|62|936,621,263.85|830,033,984.13
研发费用|63|483,616,655.61|2,501,093.10
财务费用|64|702,144,827.51|865,754,400.51
其中：利息费用||729,905,211.91|924,774,924.09
利息收入||117,967,227.61|100,574,019.72
page|58
加：其他收益|65|20,227,774.24|9,878,912.33
投资收益（损失以“－”号填列）|66|26,502,580.37|28,728,562.60
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|68|993,571.26|-25,403,578.07
信用减值损失（损失以“-”号填列）|69|673,802.67|
资产减值损失（损失以“-”号填列）|70|-4,487,009.04|8,275,868.79
资产处置收益（损失以“－”号填列）|71|6,869,338.06|-4,646,739.91
三、营业利润（亏损以“－”号填列）||381,983,374.00|1,943,714,310.23
加：营业外收入|72|1,791,128.05|3,993,624.89
减：营业外支出|73|26,398,122.85|56,103,470.80
四、利润总额（亏损总额以“－”号填列）||357,376,379.20|1,891,604,464.32
减：所得税费用|74|119,366,086.78|31,136,800.16
五、净利润（净亏损以“－”号填列）||238,010,292.42|1,860,467,664.16
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||238,010,292.42|1,860,467,664.16
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||256,443,838.55|1,856,669,101.22
2.少数股东损益（净亏损以“-”号填列）||-18,433,546.13|3,798,562.94
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期|||
page|59
损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||238,010,292.42|1,860,467,664.16
（一）归属于母公司所有者的综合收益总额||256,443,838.55|1,856,669,101.22
（二）归属于少数股东的综合收益总额||-18,433,546.13|3,798,562.94
八、每股收益：|||
（一）基本每股收益(元/股)||0.096|0.776
（二）稀释每股收益(元/股)||0.096|0.776
