page|53
项目|附注七|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|1|8,650,337,889.28|6,841,426,939.22
结算备付金|||
拆出资金|||
交易性金融资产|2|23,770,709.06|
以公允价值计量且其变动计入当期损益的金融资产|||22,777,137.80
衍生金融资产|||
应收票据|4||1,511,573,936.80
应收账款|5|543,318,847.68|704,257,811.03
应收款项融资|6|1,571,716,804.76|
预付款项|7|471,690,431.77|288,204,399.70
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|8|381,610,275.37|298,630,440.87
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|9|8,114,458,593.97|5,657,451,344.48
持有待售资产|10||
一年内到期的非流动资产|11||
其他流动资产|12|274,466,378.10|248,016,611.89
流动资产合计||20,031,369,929.99|15,572,338,621.79
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||100,002,000.00
其他债权投资|14||
持有至到期投资|||
长期应收款|||
长期股权投资|16|161,675,327.02|120,613,134.15
其他权益工具投资|17|100,000,000.00|
其他非流动金融资产|||
投资性房地产|||
固定资产|20|14,663,287,661.82|15,132,225,704.48
在建工程|21|1,183,913,925.13|1,284,238,897.85
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|25|1,694,517,844.53|1,687,856,459.39
开发支出|||
page|54
商誉|||
长期待摊费用|||
递延所得税资产|29|101,861,207.08|96,869,788.83
其他非流动资产|30|289,609,019.90|289,109,019.90
非流动资产合计||18,194,864,985.48|18,710,915,004.60
资产总计||38,226,234,915.47|34,283,253,626.39
流动负债：|||
短期借款|31|3,969,000,000.00|4,228,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|34|10,007,195,000.00|7,424,100,000.00
应付账款|35|5,739,973,092.42|6,871,724,333.74
预收款项|36|1,312,229,565.43|1,519,012,941.29
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|37|45,022,384.96|73,132,816.70
应交税费|38|27,725,137.64|28,069,997.64
其他应付款|39|744,621,595.69|938,733,008.58
其中：应付利息|||17,522,476.38
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|41|2,613,076,596.50|1,665,369,971.35
其他流动负债||46,631,780.45|
流动负债合计||24,505,475,153.09|22,748,143,069.30
非流动负债：|||
保险合同准备金|||
长期借款|43|1,100,000,000.00|1,688,800,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|46|1,622,271,346.33|888,926,428.00
长期应付职工薪酬|||
预计负债|||
递延收益|49|236,709,513.13|186,899,487.37
递延所得税负债||61,722,717.13|18,622,000.61
其他非流动负债|||
非流动负债合计||3,020,703,576.59|2,783,247,915.98
负债合计||27,526,178,729.68|25,531,390,985.28
所有者权益（或股东权益）：|||
page|55
实收资本（或股本）|51|2,872,421,386.00|2,393,684,489.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|53|4,529,992,481.24|3,480,629,920.19
减：库存股|||
其他综合收益|||
专项储备|56|85,643,936.08|75,308,022.27
盈余公积|57|1,723,034,456.37|1,723,034,456.37
一般风险准备|||
未分配利润|58|671,185,851.83|654,110,462.18
归属于母公司所有者权益（或股东权益）合计||9,882,278,111.52|8,326,767,350.01
少数股东权益||817,778,074.27|425,095,291.10
所有者权益（或股东权益）合计||10,700,056,185.79|8,751,862,641.11
负债和所有者权益（或股东权益）总计||38,226,234,915.47|34,283,253,626.39
