page|60
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||28,727,478,540.56|28,268,895,950.07
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||2,341,371.26|6,049,637.60
收到其他与经营活动有关的现金|76|260,808,014.51|179,588,415.48
page|61
经营活动现金流入小计||28,990,627,926.33|28,454,534,003.15
购买商品、接受劳务支付的现金||25,005,596,352.48|19,816,819,455.95
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,038,762,659.83|1,929,866,493.99
支付的各项税费||591,476,114.29|1,542,076,237.67
支付其他与经营活动有关的现金|76|546,315,062.81|516,160,352.38
经营活动现金流出小计||28,182,150,189.41|23,804,922,539.99
经营活动产生的现金流量净额||808,477,736.92|4,649,611,463.16
二、投资活动产生的现金流量：|||
收回投资收到的现金||19,641,805.95|2,114,025.40
取得投资收益收到的现金||1,080,581.55|
处置固定资产、无形资产和其他长期资产收回的现金净额||4,861,504.53|
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|76|5,938,080.10|
投资活动现金流入小计||31,521,972.13|2,114,025.40
购建固定资产、无形资产和其他长期资产支付的现金||639,842,309.83|592,726,994.10
投资支付的现金||35,280,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|76|60,400.00|
投资活动现金流出小计||675,182,709.83|592,726,994.10
投资活动产生的现金流量净额||-643,660,737.70|-590,612,968.70
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,026,969,458.05|120,000,000.00
其中：子公司吸收少数股东投资收到的现金||413,870,000.00|120,000,000.00
取得借款收到的现金||4,269,000,000.00|5,646,000,000.00
收到其他与筹资活动有关的现金|76|2,825,778,043.73|93,000,000.00
筹资活动现金流入小计||9,121,747,501.78|5,859,000,000.00
偿还债务支付的现金||5,019,132,000.00|6,280,333,000.00
分配股利、利润或偿付利息支付的现金||979,158,512.21|929,883,361.82
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|76|2,796,949,461.61|1,673,629,728.29
筹资活动现金流出小计||8,795,239,973.82|8,883,846,090.11
筹资活动产生的现金流量净额||326,507,527.96|-3,024,846,090.11
四、汇率变动对现金及现金等价物的影响||207,311.64|5,944,330.39
五、现金及现金等价物净增加额||491,531,838.82|1,040,096,734.74
page|62
加：期初现金及现金等价物余额||1,986,566,074.70|946,469,339.96
六、期末现金及现金等价物余额||2,478,097,913.52|1,986,566,074.70
