page|71
项目|附 注|2021 年度|2020 年度
一、营业总收入||488,430,079.16|273,155,332.08
其中：营业收入||488,430,079.16|273,155,332.08
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||419,279,451.21|211,637,374.92
其中：营业成本||356,586,617.40|162,670,465.19
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||3,706,291.22|1,977,178.25
销售费用||9,910,321.54|7,005,109.70
管理费用||34,704,167.02|28,031,957.04
研发费用||18,782,111.74|14,287,175.55
财务费用||-4,410,057.71|-2,334,510.81
其中：利息费用||713,336.92|
利息收入||6,598,846.25|4,077,761.20
加：其他收益||2,881,204.60|2,694,573.51
投资收益（损失以“－”号填列）||3,902,939.27|5,621,891.55
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-787,754.57|-3,735,316.40
page|72
资产减值损失（损失以“-”号填列）||-879,901.82|
资产处置收益（损失以“－”号填列）||-54,758.91|20,914.15
三、营业利润（亏损以“－”号填列）||74,212,356.52|66,120,019.97
加：营业外收入||79,525.24|63,739.05
减：营业外支出||121,926.63|1,965,292.75
四、利润总额（亏损总额以“－”号填列）||74,169,955.13|64,218,466.27
减：所得税费用||9,064,703.43|8,396,830.32
五、净利润（净亏损以“－”号填列）||65,105,251.70|55,821,635.95
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||65,105,251.70|55,821,635.95
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||62,747,182.41|56,554,915.52
2.少数股东损益（净亏损以“-”号填列）||2,358,069.29|-733,279.57
六、其他综合收益的税后净额||-55,084.60|-111,057.77
（一）归属母公司所有者的其他综合收益的税后净额||-55,084.60|-111,057.77
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-55,084.60|-111,057.77
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-55,084.60|-111,057.77
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||65,050,167.10|55,710,578.18
（一）归属于母公司所有者的综合收益总额||62,692,097.81|56,443,857.75
（二）归属于少数股东的综合收益总额||2,358,069.29|-733,279.57
八、每股收益：|||
（一）基本每股收益(元/股)||0.26|0.23
（二）稀释每股收益(元/股)||0.26|0.23
