page|92
资产|附注|2021 年 12 月 31 日 合并|2020 年 12 月 31 日 合并|2021 年 12 月 31 日 公司|2020 年 12 月 31 日 公司
流动资产|||||
货币资金|五(1)|75,210,199,225.38|33,091,499,997.31|50,826,031,194.06|13,720,595,701.47
应收票据||59,631,353.09|34,047,947.53|31,390,987.28|17,038,553.76
应收账款|五(2)/十六(1)|22,329,026,300.99|21,468,413,955.36|19,146,322,632.91|18,596,940,865.18
预付款项|五(3)|7,772,509,109.09|8,659,056,290.04|3,111,456,003.88|4,676,956,589.70
其他应收款|五(4) /十六(2)|4,014,753,332.87|5,347,165,302.88|3,359,943,973.25|3,923,285,815.86
存货|五(5)|3,826,728,516.44|3,317,137,048.16|1,391,178,488.44|1,431,079,397.82
合同资产|五(6) /十六(3)|911,802,147.97|604,012,292.12|600,170,618.51|443,627,784.59
一年内到期的非流动资产|五(7)|1,182,077,150.08|2,279,507,773.83|690,463,008.17|469,274,121.74
其他流动资产|五(8)|12,053,802,884.63|9,214,785,354.75|9,855,328,005.66|8,708,184,078.63
|||||
流动资产合计||127,360,530,020.54|84,015,625,961.98|89,012,284,912.16|51,986,982,908.75
|||||
非流动资产|||||
债权投资||42,548,500.00|122,548,500.00|42,548,500.00|42,548,500.00
长期应收款|五(9)|1,210,484,907.00|2,321,603,436.10|899,838,190.11|714,213,226.62
长期股权投资|五(10) /十六(4)|41,165,825,023.03|40,302,985,605.87|71,616,625,312.79|55,918,452,366.71
其他权益工具投资|五(11)|1,216,350,977.29|1,073,275,846.34|921,431,885.92|864,652,195.86
其他非流动金融资产||248,160,265.49|73,194,194.02|-|-
投资性房地产||209,591,650.67|229,952,362.65|202,094,364.28|221,390,759.61
固定资产|五(12)|415,380,080,243.62|417,882,862,187.35|404,367,856,861.95|414,880,093,415.15
在建工程|五(13)|51,456,480,391.58|48,425,264,053.83|44,018,291,171.19|47,319,271,496.43
使用权资产|五(14)|40,979,204,097.62|39,016,178,428.40|40,275,866,882.75|38,273,459,686.63
无形资产|五(15)|39,914,346,624.96|38,898,737,647.24|38,064,714,556.92|37,192,766,489.50
