page|99
项目|附注七|2021 年度|2020 年度
一、营业总收入||23,299,935,290.20|15,927,728,889.05
其中：营业收入|38|23,299,935,290.20|15,927,728,889.05
二、营业总成本||14,866,779,255.38|10,409,593,207.26
其中：营业成本|38|13,465,741,720.30|8,744,572,767.71
税金及附加|39|352,415,206.44|210,633,031.03
销售费用|40|59,613,676.01|536,981,000.26
管理费用|41|597,757,099.73|517,436,723.34
研发费用|42|132,538,540.98|100,046,307.60
财务费用|43|258,713,011.92|299,923,377.32
其中：利息费用||173,107,008.29|228,105,313.12
利息收入||48,463,249.49|45,389,062.64
加：其他收益|44|24,025,085.43|31,910,123.77
投资收益（损失以“－”号填列）|45|-36,003.70|4,258,601.51
信用减值损失（损失以“-”号填列）|46|-1,910,938.04|-1,348,838.26
资产处置收益（损失以“－”号填列）|47|-34,656,141.63|-16,726,423.25
三、营业利润（亏损以“－”号填列）||8,420,578,036.88|5,536,229,145.56
加：营业外收入|48|41,429,634.03|25,453,468.21
减：营业外支出|49|341,293,617.90|312,993,510.96
四、利润总额（亏损总额以“－”号填列）||8,120,714,053.01|5,248,689,102.81
减：所得税费用|52|1,050,288,190.24|625,921,058.94
五、净利润（净亏损以“－”号填列）||7,070,425,862.77|4,622,768,043.87
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||7,070,425,862.77|4,622,768,043.87
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||7,070,425,862.77|4,622,768,043.87
六、综合收益总额||7,070,425,862.77|4,622,768,043.87
（一）归属于母公司所有者的综合收益总额||7,070,425,862.77|4,622,768,043.87
七、每股收益：|||
（一）基本每股收益(元/股)|51|0.97|0.63
（二）稀释每股收益(元/股)|51|0.97|0.63
