page|95
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
流动资产：|||
货币资金|1|1,450,702,212.93|3,087,441,509.73
应收账款|2|38,334,917.78|19,949,791.11
应收款项融资|3|380,168,707.78|388,531,730.01
预付款项|4|305,565,099.84|185,473,681.65
其他应收款|5|76,751,190.85|173,790,650.02
存货|6|940,393,067.25|803,321,868.19
其他流动资产|7|139,373,170.54|205,285,624.98
流动资产合计||3,331,288,366.97|4,863,794,855.69
非流动资产：|||
固定资产|8|23,630,171,726.14|25,179,498,379.65
在建工程|9|8,343,833,300.29|2,531,762,057.27
使用权资产|10|824,654,408.86|-
无形资产|11|4,599,939,547.00|3,800,862,684.71
商誉|12|1,123,507,836.71|1,123,507,836.71
长期待摊费用|13|8,946,009.89|6,404,575.12
递延所得税资产|14|15,662,494.06|24,506,055.21
其他非流动资产|15|2,495,761,720.20|574,676,435.60
非流动资产合计||41,042,477,043.15|33,241,218,024.27
资产总计||44,373,765,410.12|38,105,012,879.96
流动负债：|||
短期借款|17|-|400,361,111.11
应付票据|18|420,151,775.39|330,579,348.59
应付账款|19|474,048,578.95|437,340,965.11
合同负债|20|648,044,148.54|493,912,636.51
应付职工薪酬|21|340,414,580.83|225,979,587.67
应交税费|22|943,730,687.36|353,857,054.56
其他应付款|23|2,046,501,091.59|1,985,853,558.79
一年内到期的非流动负债|24|3,019,315,099.40|1,407,213,255.11
其他流动负债|25|83,959,496.30|-
流动负债合计||7,976,165,458.36|5,635,097,517.45
page|96
项目|附注七|2021 年 12 月 31 日|2020 年 12 月 31 日
非流动负债：|||
长期借款|26|4,360,750,788.30|4,677,950,788.30
租赁负债|28|31,630,875.44|-
长期应付款|29|1,129,251,087.16|1,687,333,553.23
预计负债|30|73,517,811.63|70,826,678.48
递延收益|31|82,157,424.20|87,143,662.40
递延所得税负债|14|30,327,401.17|46,313,135.09
非流动负债合计||5,707,635,387.90|6,569,567,817.50
负债合计||13,683,800,846.26|12,204,665,334.95
所有者权益（或股东权益）：|||
实收资本（或股本）|32|7,333,360,000.00|7,333,360,000.00
资本公积|33|7,267,767,308.67|7,267,767,308.67
减：库存股|34|299,870,926.50|-
专项储备|35|196,081,059.89|127,613,378.57
盈余公积|36|2,114,699,495.56|1,374,974,077.54
未分配利润|37|14,077,927,626.24|9,796,632,780.23
归属于母公司所有者权益（或股东权益）合计||30,689,964,563.86|25,900,347,545.01
所有者权益（或股东权益）合计||30,689,964,563.86|25,900,347,545.01
负债和所有者权益（或股东权益）总计||44,373,765,410.12|38,105,012,879.96
