page|101
项目|附注七|2021年度|2020年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||19,433,800,374.02|14,276,610,416.07
收到的税费返还||42,194,519.64|-
收到其他与经营活动有关的现金|53（1）|69,692,375.36|101,474,087.99
经营活动现金流入小计||19,545,687,269.02|14,378,084,504.06
购买商品、接受劳务支付的现金||8,987,566,469.74|5,619,420,088.39
支付给职工及为职工支付的现金||1,651,865,179.76|1,261,769,828.29
支付的各项税费||1,865,866,816.21|1,728,705,677.65
支付其他与经营活动有关的现金|53（2）|552,571,076.31|584,474,243.57
经营活动现金流出小计||13,057,869,542.02|9,194,369,837.90
经营活动产生的现金流量净额|54（1）|6,487,817,727.00|5,183,714,666.16
二、投资活动产生的现金流量：|||
处置子公司及其他营业单位收到的现金净额|54（2）|41,291,287.49|121,032,690.45
投资活动现金流入小计||41,291,287.49|121,032,690.45
购建固定资产、无形资产和其他长期资产支付的现金||5,357,162,620.72|2,573,944,289.49
支付其他与投资活动有关的现金|53（3）|141,772,196.32|228.77
投资活动现金流出小计||5,498,934,817.04|2,573,944,518.26
投资活动产生的现金流量净额||-5,457,643,529.55|-2,452,911,827.81
三、筹资活动产生的现金流量：|||
取得借款收到的现金||1,660,000,000.00|3,347,300,000.00
收到其他与筹资活动有关的现金|53（4）|-|45,000,000.00
筹资活动现金流入小计||1,660,000,000.00|3,392,300,000.00
偿还债务支付的现金||1,062,834,083.59|2,011,149,211.70
分配股利、利润或偿付利息支付的现金||2,330,475,066.90|2,333,851,482.99
支付其他与筹资活动有关的现金|53（5）|997,159,162.79|315,844,507.08
筹资活动现金流出小计||4,390,468,313.28|4,660,845,201.77
筹资活动产生的现金流量净额||-2,730,468,313.28|-1,268,545,201.77
四、汇率变动对现金及现金等价物的影响||-1,787,079.93|483.81
五、现金及现金等价物净增加额||-1,702,081,195.76|1,462,258,120.39
加：期初现金及现金等价物余额||3,025,908,276.60|1,563,650,156.21
六、期末现金及现金等价物余额|54（3）|1,323,827,080.84|3,025,908,276.60
