page|68
项  目|注释|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||480,609,899.53|627,156,183.01
收到的税费返还||16,880,604.74|24,423,674.48
收到其他与经营活动有关的现金|六.47（1）|12,217,746.76|7,410,826.02
经营活动现金流入小计||509,708,251.03|658,990,683.51
购买商品、接受劳务支付的现金||299,638,293.30|349,601,614.28
支付给职工以及为职工支付的现金||124,967,841.76|191,988,619.59
支付的各项税费||24,848,157.44|28,011,694.50
支付其他与经营活动有关的现金|六.47（2）|53,041,721.42|146,544,277.71
经营活动现金流出小计||502,496,013.92|716,146,206.08
经营活动产生的现金流量净额||7,212,237.11|-57,155,522.57
二、投资活动产生的现金流量：|||
收回投资收到的现金||28,313,650.00|68,930,000.00
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||82,413,108.36|42,106.44
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||110,726,758.36|68,972,106.44
购建固定资产、无形资产和其他长期资产支付的现金||10,136,040.50|22,628,780.20
投资支付的现金|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|六.47（3）|20,645,689.73|20,000,000.00
投资活动现金流出小计||30,781,730.23|42,628,780.20
投资活动产生的现金流量净额||79,945,028.13|26,343,326.24
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||2,000,000.00|
其中：子公司吸收少数股东投资收到的现金||2,000,000.00|
取得借款收到的现金||36,437,687.89|30,529,583.64
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||38,437,687.89|30,529,583.64
偿还债务支付的现金||95,924,120.00|7,900,000.00
分配股利、利润或偿付利息支付的现金||7,933,269.93|3,856,956.32
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||103,857,389.93|11,756,956.32
筹资活动产生的现金流量净额||-65,419,702.04|18,772,627.32
四、汇率变动对现金的影响||-116,453.09|2,796,873.88
五、现金及现金等价物净增加额||21,621,110.11|-9,242,695.13
