page|65
项        目|注释|2019 年度|2018 年度
一、营业总收入||450,181,969.11|586,967,179.08
其中：营业收入|六.32|450,181,969.11|586,967,179.08
二、营业总成本||467,164,742.74|794,228,417.76
其中：营业成本|六.32|270,899,216.62|345,892,814.95
税金及附加|六.33|4,715,035.45|4,900,103.31
销售费用|六.34|108,256,185.33|191,268,445.67
管理费用|六.35|47,857,833.59|95,655,035.73
研发费用|六.36|14,638,303.14|17,338,060.89
财务费用|六.37|8,409,203.12|6,034,128.84
其中：利息费用||6,706,669.93|2,391,656.32
利息收入||139,717.96|244,229.78
加：其他收益|六.38|3,691,734.64|1,996,145.31
投资收益（损失以“-”号填列）|六.39|11,292,291.74|-130,070.08
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||不适用
公允价值变动收益（损失以“-”号填列）|||不适用
信用减值损失（损失以“-”号填列）|六.40|-1,321,146.63|不适用
资产减值损失（损失以“-”号填列）|六.41||-11,067,818.86    -133,139,828.37
资产处置收益（损失以“-”号填列）|六.42|49,489,541.76|
三、营业利润（亏损以“-”号填列）|||47,490,794.51    -205,395,163.45
加：营业外收入|六.43|14,203,529.64|6,962,070.30
减：营业外支出|六.44|8,631,387.81|13,147,749.78
page|66
四、利润总额（亏损总额以“-”号填列）|||53,062,936.34    -211,580,842.93
减：所得税费用|六.45|8,828,100.20|3,337,525.42
五、净利润（净亏损以“-”号填列）|||44,234,836.14    -214,918,368.35
（一）按经营持续性分类：|||
1.  持续经营净利润（净亏损以“-”号填列）|||44,234,836.14    -214,918,368.35
2.  终止经营净利润（净亏损以“-”号填列）|||
（二）按所有权归属分类：|||
1.   归属于母公司股东的净利润（净亏损以“-”号填列）|||48,506,025.14    -201,532,789.93
2.  少数股东损益（净亏损以“-”号填列）||-4,271,189.00|-13,385,578.42
六、其他综合收益的税后净额|六.46|12,914,935.28|-12,364.04
（一）归属于母公司股东的其他综合收益的税后净额||12,897,008.10|-10,429.07
1.  不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||不适用
（4）企业自身信用风险公允价值变动|||不适用
（5）其他|||
2.  将重分类进损益的其他综合收益||12,897,008.10|-10,429.07
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||不适用
（3）可供出售金融资产公允价值变动损益||不适用|
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益||不适用|
（6）其他债权投资信用减值准备|||不适用
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||12,897,008.10|-10,429.07
（9）其他|||
（二） 归属于少数股东的其他综合收益的税后净额||17,927.18|-1,934.97
七、综合收益总额|||57,149,771.42    -214,930,732.39
（一） 归属于母公司股东的综合收益总额|||61,403,033.24    -201,543,219.00
（二） 归属于少数股东的综合收益总额||-4,253,261.82|-13,387,513.39
八、每股收益：|||
（一）基本每股收益（元/股）|十六.2|0.10|-0.43
（二）稀释每股收益（元/股）|十六.2|0.10|-0.43
