page|78
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||6,097,978,971.15|3,913,208,027.28
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||3,178,974.69|815,103.28
收到其他与经营活动有关的现金||1,730,202,100.85|1,221,665,925.27
经营活动现金流入小计||7,831,360,046.69|5,135,689,055.83
购买商品、接受劳务支付的现金||5,183,778,247.82|2,905,139,750.49
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||710,068,467.72|712,992,179.15
支付的各项税费||177,746,178.27|224,259,614.80
支付其他与经营活动有关的现金||1,660,332,661.62|1,117,714,031.07
经营活动现金流出小计||7,731,925,555.43|4,960,105,575.51
经营活动产生的现金流量净额||99,434,491.26|175,583,480.32
二、投资活动产生的现金流量：|||
收回投资收到的现金||13,000,000.00|
取得投资收益收到的现金||4,686,883.47|3,150,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||34,221,955.96|9,444,407.67
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||51,908,839.43|12,594,407.67
购建固定资产、无形资产和其他长期资产支付的现金||241,073,579.88|147,129,752.68
投资支付的现金||45,000,000.00|
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||286,073,579.88|147,129,752.68
投资活动产生的现金流量净额||-234,164,740.45|-134,535,345.01
三、筹资活动产生的现金流量：|||
page|79
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||3,517,841,111.12|2,314,980,000.00
收到其他与筹资活动有关的现金||589,009,191.25|249,969,100.00
筹资活动现金流入小计||4,106,850,302.37|2,564,949,100.00
偿还债务支付的现金||3,301,801,012.72|2,381,410,000.00
分配股利、利润或偿付利息支付的现金||195,714,814.32|199,307,080.87
其中：子公司支付给少数股东的股利、利润|||600,000.00
支付其他与筹资活动有关的现金||654,500,691.09|163,185,428.97
筹资活动现金流出小计||4,152,016,518.13|2,743,902,509.84
筹资活动产生的现金流量净额||-45,166,215.76|-178,953,409.84
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||-179,896,464.95|-137,905,274.53
加：期初现金及现金等价物余额||355,682,702.92|493,587,977.45
六、期末现金及现金等价物余额||175,786,237.97|355,682,702.92
