page|75
项目|附 注|2020 年度|2019 年度
一、营业总收入||7,602,781,444.82|5,553,987,177.55
其中：营业收入||7,602,781,444.82|5,553,987,177.55
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||7,754,718,857.21|5,560,460,005.19
其中：营业成本||7,217,997,104.04|5,039,498,645.03
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||39,954,023.07|44,770,625.11
销售费用||42,733,593.38|53,518,397.43
管理费用||194,656,281.76|178,339,732.12
研发费用||2,799,547.05|8,135,222.60
财务费用||256,578,307.91|236,197,382.90
其中：利息费用||263,836,444.51|240,340,394.18
利息收入||10,805,326.63|7,162,414.75
加：其他收益||58,951,976.97|29,313,997.39
投资收益（损失以“－”号填列）||3,282,169.65|2,795,330.80
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||372,613.34|33,045,251.58
资产减值损失（损失以“-”号填列）||-73,943,868.66|-1,363,337.77
page|76
资产处置收益（损失以“－”号填列）||5,191,938.72|5,401,104.49
三、营业利润（亏损以“－”号填列）||-158,082,582.37|62,719,518.85
加：营业外收入||30,780,628.26|36,554,097.13
减：营业外支出||58,285,881.84|62,956,786.35
四、利润总额（亏损总额以“－”号填列）||-185,587,835.95|36,316,829.63
减：所得税费用||36,347,727.63|24,591,237.25
五、净利润（净亏损以“－”号填列）||-221,935,563.58|11,725,592.38
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-221,935,563.58|11,725,592.38
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-222,695,201.70|18,971,493.42
2.少数股东损益（净亏损以“-”号填列）||759,638.12|-7,245,901.04
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-221,935,563.58|11,725,592.38
（一）归属于母公司所有者的综合收益总额||-222,695,201.70|18,971,493.42
（二）归属于少数股东的综合收益总额||759,638.12|-7,245,901.04
八、每股收益：|||
（一）基本每股收益(元/股)||-0.2250|0.0192
（二）稀释每股收益(元/股)||-0.2250|0.0192
