page|61
项目|附注五|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|（一）|16,167,250,105.83|14,150,725,318.85
结算备付金|||
拆出资金|||
交易性金融资产|（二）|259,979,758.25|1,311,077,896.06
衍生金融资产|||
应收票据|||
应收账款|（五）|856,946,492.73|792,886,642.32
应收款项融资|||
预付款项|（七）|260,874,158.40|218,606,843.58
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|（八）|357,208,073.19|267,650,979.72
其中：应收利息|||
应收股利|||27,946,423.66
买入返售金融资产|||
存货|（九）|3,235,223,076.20|3,301,664,086.39
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|（十三）|421,746,538.90|563,731,712.37
流动资产合计||21,559,228,203.50|20,606,343,479.29
非流动资产：|||
发放贷款和垫款|||
债权投资|||
其他债权投资|||
长期应收款|（十六）|226,066,439.32|299,076,418.57
长期股权投资|（十七）|1,307,961,635.43|1,215,047,514.05
其他权益工具投资|（十八）|4,164,353,358.52|5,013,678,913.72
其他非流动金融资产|（十九）|57,683,945.42|73,909,047.18
投资性房地产|（二十）|135,014,216.52|143,898,625.74
固定资产|（二十一）|14,675,522,986.19|14,666,868,197.34
在建工程|（二十二）|224,108,135.43|2,069,590,000.47
生产性生物资产|||
油气资产|||
使用权资产|（二十五）|6,182,626,661.77|6,629,985,446.73
无形资产|（二十六）|3,987,055,763.16|3,405,948,182.30
开发支出|||
商誉|（二十八）|138,907,856.22|138,907,856.22
长期待摊费用|（二十九）|1,205,813,630.81|1,167,700,130.71
page|62
递延所得税资产|（三十）|68,602,418.92|48,571,999.02
其他非流动资产|（三十一）|212,498,055.37|213,248,157.57
非流动资产合计||32,586,215,103.08|35,086,430,489.62
资产总计||54,145,443,306.58|55,692,773,968.91
流动负债：|||
短期借款|（三十二）|770,636,018.34|630,757,625.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|（三十六）|6,060,287,334.40|6,158,285,599.00
预收款项|（三十七）|156,064,472.72|804,450,523.00
合同负债|（三十八）|5,634,243,518.87|5,720,683,597.57
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|（三十九）|679,776,139.67|643,565,710.87
应交税费|（四十）|625,124,886.30|521,928,245.38
其他应付款|（四十一）|5,807,847,352.39|6,308,103,996.22
其中：应付利息|||
应付股利||35,035,885.05|77,245,413.28
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|（四十三）|1,492,491,114.52|967,640,883.00
其他流动负债|（四十四）|2,429,924,198.27|1,669,939,176.02
流动负债合计||23,656,395,035.48|23,425,355,356.06
非流动负债：|||
保险合同准备金|||
长期借款|（四十五）|1,141,641,125.77|1,794,845,031.64
应付债券|||
其中：优先股|||
永续债|||
租赁负债|（四十七）|6,247,684,155.75|6,774,003,931.56
长期应付款|（四十八）|29,326,988.78|29,326,988.78
长期应付职工薪酬|（四十九）|209,610,000.00|201,000,000.00
预计负债|（五十）|130,500,000.00|51,867,031.73
递延收益|（五十一）|191,038,206.63|269,933,137.11
递延所得税负债|（三十）|1,074,077,823.08|1,218,823,770.06
其他非流动负债|||
非流动负债合计||9,023,878,300.01|10,339,799,890.88
负债合计||32,680,273,335.49|33,765,155,246.94
所有者权益（或股东权益）：|||
实收资本（或股本）|（五十三）|1,784,168,117.00|1,784,168,117.00
其他权益工具|||
其中：优先股|||
page|63
永续债|||
资本公积|（五十五）|2,928,476,406.83|2,928,476,406.83
减：库存股|||
其他综合收益|（五十七）|2,767,941,419.47|3,406,033,890.92
专项储备|（五十八）|13,224,000.00|12,774,000.00
盈余公积|（五十九）|1,458,997,663.42|1,458,997,663.42
一般风险准备|||
未分配利润|（六十）|9,330,709,308.72|8,707,940,684.08
归属于母公司所有者权益（或股东权益）合计||18,283,516,915.44|18,298,390,762.25
少数股东权益||3,181,653,055.65|3,629,227,959.72
所有者权益（或股东权益）合计||21,465,169,971.09|21,927,618,721.97
负债和所有者权益（或股东权益）总计||54,145,443,306.58|55,692,773,968.91
