page|68
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||53,491,162,662.92|57,087,893,870.92
客户存款和同业存放款项净增加额||22,552,667.34|10,318,734.63
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|（七十八）|1,983,295,070.44|956,082,889.18
经营活动现金流入小计||55,497,010,400.70|58,054,295,494.73
购买商品、接受劳务支付的现金||43,449,113,135.32|45,336,706,359.61
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||3,221,225,892.66|3,524,478,175.38
支付的各项税费||1,405,069,963.49|1,828,785,462.43
支付其他与经营活动有关的现金|（七十八）|2,972,753,763.56|4,740,335,169.67
经营活动现金流出小计||51,048,162,755.03|55,430,305,167.09
经营活动产生的现金流量净额||4,448,847,645.67|2,623,990,327.64
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,585,911,341.51|3,885,346,358.89
取得投资收益收到的现金||221,592,450.15|331,921,573.45
处置固定资产、无形资产和其他长期资产收回的现金净额||345,209,259.60|154,754,915.94
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|（七十八）|5,181,091.01|
投资活动现金流入小计||2,157,894,142.27|4,372,022,848.28
购建固定资产、无形资产和其他长期资||1,447,544,444.37|1,527,237,839.33
page|69
产支付的现金|||
投资支付的现金||280,647,096.83|1,377,219,374.02
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||95,805,317.35|
支付其他与投资活动有关的现金|（七十八）|290,072,828.42|3,098,515.20
投资活动现金流出小计||2,114,069,686.97|2,907,555,728.55
投资活动产生的现金流量净额||43,824,455.30|1,464,467,119.73
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||46,800,000.00|317,946,400.00
其中：子公司吸收少数股东投资收到的现金||46,800,000.00|317,946,400.00
取得借款收到的现金||3,885,033,115.87|4,033,954,394.35
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||3,931,833,115.87|4,351,900,794.35
偿还债务支付的现金||3,779,824,270.00|5,120,719,065.94
分配股利、利润或偿付利息支付的现金||590,397,024.81|759,692,403.67
其中：子公司支付给少数股东的股利、利润||242,445,429.26|159,312,412.59
支付其他与筹资活动有关的现金|（七十八）|1,299,483,472.40|3,619,848.44
筹资活动现金流出小计||5,669,704,767.21|5,884,031,318.05
筹资活动产生的现金流量净额||-1,737,871,651.34|-1,532,130,523.70
四、汇率变动对现金及现金等价物的影响||-37,371.71|-1,103,073.80
五、现金及现金等价物净增加额||2,754,763,077.92|2,555,223,849.87
加：期初现金及现金等价物余额||11,349,667,422.82|8,794,443,572.95
六、期末现金及现金等价物余额||14,104,430,500.74|11,349,667,422.82
