page|65
项目|附注五|2020 年度|2019 年度
一、营业总收入|||35,209,406,173.20  50,458,773,217.78
其中：营业收入||（六十一）  35,209,406,173.20  50,458,773,217.78|
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||34,387,539,388.57  49,250,920,575.46
其中：营业成本||（六十一）  26,301,721,215.50  39,925,270,058.52|
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|（六十二）|315,908,224.78|383,135,795.20
销售费用|（六十三）|5,762,028,293.83|6,412,652,082.06
管理费用|（六十四）|1,988,338,427.38|2,443,233,282.24
研发费用|（六十五）|17,421,246.12|14,644,458.35
财务费用|（六十六）|2,121,980.96|71,984,899.09
其中：利息费用||459,116,478.04|445,386,062.60
利息收入||498,810,827.32|429,239,548.32
加：其他收益|（六十七）|318,376,522.33|105,472,642.18
投资收益（损失以“－”号填列）|（六十八）|252,106,016.47|225,664,788.38
其中：对联营企业和合营企业的投资收益||-113,811,229.77|-13,453,484.17
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号|（七十）|-57,011,984.85|-70,160,055.92
page|66
填列）|||
|信用减值损失（损失以“-”号填列） （七十一）|-4,646,852.56|-13,697,555.20
|资产减值损失（损失以“-”号填列） （七十二）|-101,798,119.03|-128,066,453.48
|资产处置收益（损失以“－”号填列） （七十三）|324,957,046.31|153,940,145.29
三、营业利润（亏损以“－”号填列）||1,553,849,413.30|1,481,006,153.57
加：营业外收入|（七十四）|144,839,568.07|148,214,195.07
减：营业外支出|（七十五）|271,823,987.92|31,111,628.74
四、利润总额（亏损总额以“－”号填列）||1,426,864,993.45|1,598,108,719.90
减：所得税费用|（七十六）|631,395,792.81|690,083,021.08
五、净利润（净亏损以“－”号填列）||795,469,200.64|908,025,698.82
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||795,469,200.64|908,025,698.82
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||797,004,982.53|958,193,938.74
2.少数股东损益（净亏损以“-”号填列）||-1,535,781.89|-50,168,239.92
六、其他综合收益的税后净额||-635,473,176.71|1,329,601,246.52
（一）归属母公司所有者的其他综合收益的税后净额||-633,912,017.64|1,328,928,416.76
1．不能重分类进损益的其他综合收益||-633,912,017.64|1,328,928,416.76
（1）重新计量设定受益计划变动额||-3,527,100.00|
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-630,384,917.64|1,328,928,416.76
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-1,561,159.07|672,829.76
七、综合收益总额||159,996,023.93|2,237,626,945.34
（一）归属于母公司所有者的综合收益总额||163,092,964.89|2,287,122,355.50
（二）归属于少数股东的综合收益总额||-3,096,940.96|-49,495,410.16
八、每股收益：|||
（一）基本每股收益(元/股)||0.45|0.54
（二）稀释每股收益(元/股)||0.45|0.54
