page|72
项目|附 注|2019 年度|2018 年度
一、营业总收入||34,535,605,619.56|34,083,884,681.76
其中：营业收入||34,535,605,619.56|34,083,884,681.76
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||33,312,754,251.97|32,956,384,673.39
其中：营业成本||28,290,780,699.24|27,804,304,058.12
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||230,822,591.31|228,368,001.34
销售费用||3,644,198,204.80|3,693,650,649.83
管理费用||1,104,780,438.21|1,165,770,537.78
研发费用||5,815,536.81|3,412,618.52
财务费用||36,356,781.60|60,878,807.80
其中：利息费用||21,184,101.20|19,748,786.00
利息收入||74,918,122.87|43,037,896.17
加：其他收益||71,591,607.25|15,733,797.39
投资收益（损失以“－”号填列）||275,224,389.53|282,478,222.88
其中：对联营企业和合营企业的投资收益||265,062,363.49|247,224,804.08
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||23,415,611.16|4,217,726.04
信用减值损失（损失以“-”号填列）||-4,343,346.74|
资产减值损失（损失以“-”号填列）||-399,134,990.98|-409,938,159.02
资产处置收益（损失以“－”号填列）||4,442,772.74|5,650,179.29
三、营业利润（亏损以“－”号填列）||1,194,047,410.55|1,025,641,774.95
加：营业外收入||17,082,944.94|16,957,733.85
减：营业外支出||32,283,105.44|28,346,496.15
四、利润总额（亏损总额以“－”号填列）||1,178,847,250.05|1,014,253,012.65
减：所得税费用||154,683,352.11|140,081,907.40
五、净利润（净亏损以“－”号填列）||1,024,163,897.94|874,171,105.25
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,024,163,897.94|874,171,105.25
2.终止经营净利润（净亏损以“－”号填|||
page|73
列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||985,306,683.49|831,141,123.67
2.少数股东损益（净亏损以“-”号填列）||38,857,214.45|43,029,981.58
六、其他综合收益的税后净额||7,516,657.98|-17,614,167.83
（一）归属母公司所有者的其他综合收益的税后净额||7,516,657.98|-17,614,167.83
1．不能重分类进损益的其他综合收益||7,516,657.98|-17,614,167.83
（1）重新计量设定受益计划变动额||7,516,657.98|-17,614,167.83
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,031,680,555.92|856,556,937.42
（一）归属于母公司所有者的综合收益总额||992,823,341.47|813,526,955.84
（二）归属于少数股东的综合收益总额||38,857,214.45|43,029,981.58
八、每股收益：|||
（一）基本每股收益(元/股)||2.42|2.04
（二）稀释每股收益(元/股)||2.42|2.04
