page|46
项目|附注五|2019 年 12 月 31 日|2019 年 1 月 1 日|2018 年 12 月 31 日
流动资产：||||
货币资金|（一）|367,675.16|56,053.33|56,053.33
结算备付金||||
拆出资金||||
交易性金融资产||||
以公允价值计量且其变动计入当期损益的金融资产||||
衍生金融资产||||
应收票据||||
应收账款|（二）|7,516,191.48|3,398,165.86|3,398,165.86
应收款项融资||||
page|47
预付款项||||
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款|（三）|298,892,178.72|291,499,429.00|291,499,429.00
其中：应收利息||138,499.27||
应收股利||||
买入返售金融资产||||
存货||||
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产|（四）|91,494.09|88,192.96|88,192.96
流动资产合计||306,867,539.45|295,041,841.15|295,041,841.15
非流动资产：||||
发放贷款和垫款||||
债权投资||||
可供出售金融资产||||
其他债权投资||||
持有至到期投资||||
长期应收款||||
长期股权投资||||
其他权益工具投资||||
其他非流动金融资产||||
投资性房地产|（五）|803,580,000.00|781,268,700.00|774,530,763.74
固定资产|（六）|52,635.91|84,601.64|84,601.64
在建工程||||
生产性生物资产||||
油气资产||||
使用权资产||||
无形资产|（七）|1,538.26|2,958.33|2,958.33
开发支出||||
商誉||||
长期待摊费用||||
递延所得税资产||||
其他非流动资产||||
非流动资产合计||803,634,174.17|781,356,259.97|774,618,323.71
资产总计||1,110,501,713.62|1,076,398,101.12|1,069,660,164.86
流动负债：||||
短期借款||||
向中央银行借款||||
拆入资金||||
交易性金融负债||||
以公允价值计量且其变动计入当期损益的金融负债||||
page|48
衍生金融负债||||
应付票据||||
应付账款|（八）|5,193,465.03|2,705,847.07|2,705,847.07
预收款项|（九）|2,895,612.08|332,383.08|332,383.08
卖出回购金融资产款||||
吸收存款及同业存放||||
代理买卖证券款||||
代理承销证券款||||
应付职工薪酬|（十）|5,579,729.02|5,535,700.67|5,535,700.67
应交税费|（十一）|25,788,594.57|9,197,952.55|9,197,952.55
其他应付款|（十二）|192,595,146.38|194,640,929.57|194,640,929.57
其中：应付利息||||
应付股利||||
应付手续费及佣金||||
应付分保账款||||
持有待售负债||||
一年内到期的非流动负债||||
其他流动负债||||
流动负债合计||232,052,547.08|212,412,812.94|212,412,812.94
非流动负债：||||
保险合同准备金||||
长期借款||||
应付债券||||
其中：优先股||||
永续债||||
租赁负债||||
长期应付款||||
长期应付职工薪酬||||
预计负债|（十三）|204,884,644.99|204,884,644.99|204,884,644.99
递延收益||||
递延所得税负债||||
其他非流动负债||||
非流动负债合计||204,884,644.99|204,884,644.99|204,884,644.99
负债合计||436,937,192.07|417,297,457.93|417,297,457.93
所有者权益（或股东权益）：||||
实收资本（或股本）|（十四）|1,491,100,380.00|1,491,100,380.00|1,491,100,380.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|（十|1,514,975,748.93|1,514,975,748.93|1,514,975,748.93
page|49
|五）|||
减：库存股||||
其他综合收益|（十六）|6,195,532.39|6,195,532.39|
专项储备||||
盈余公积|（十七）|35,700,540.76|35,700,540.76|35,700,540.76
一般风险准备||||
未分配利润|（十八）|-2,428,291,971.01|-2,440,683,248.38|-2,440,683,248.38
归属于母公司所有者权益（或股东权益）合计||619,680,231.07|607,288,953.70|601,093,421.31
少数股东权益||53,884,290.48|51,811,689.49|51,269,285.62
所有者权益（或股东权益）合计||673,564,521.55|659,100,643.19|652,362,706.93
负债和所有者权益（或股东权益）总计||1,110,501,713.62|1,076,398,101.12|1,069,660,164.86
