page|111
|||单位：元  币种：人民币
项目|附注|2021年度|2020年度
一、营业总收入||13,606,863,113.97|11,475,570,511.86
营业收入||13,606,863,113.97|11,475,570,511.86
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||11,043,202,064.07|9,977,661,686.52
其中：|||
营业成本||5,716,158,829.85|5,325,767,403.01
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||1,009,922,115.83|409,908,375.77
销售费用||2,780,592,654.04|2,664,992,529.45
管理费用||1,021,961,953.17|748,475,736.78
研发费用||69,931,286.06|67,178,626.14
财务费用||444,635,225.12|761,339,015.37
其中：|||
利息费用||1,044,597,724.57|1,001,046,530.40
利息收入||621,343,985.46|299,008,129.23
加：其他收益||36,634,343.51|117,231,103.15
投资收益（损失以“－”号填列）||3,056,964,094.95|7,605,725,280.11
其中：|||
对联营企业和合营企业的投资收益||1,823,955,390.50|2,024,296,619.65
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||494,097,505.14|133,215,681.70
信用减值损失（损失以“-”号填列）||-929,322.41|124,428,548.48
资产减值损失（损失以“-”号填列）||-75,014,611.82|-96,492,262.05
资产处置收益（损失以“－”号填列）||100,423,717.02|4,528,680.03
三、营业利润（亏损以“－”号填列）||6,175,836,776.29|9,386,545,856.76
加：营业外收入||58,875,722.32|50,756,380.84
||47,549,166.02|37,678,763.05
减：营业外支出|||
||6,187,163,332.59|9,399,623,474.55
四、利润总额（亏损总额以“－”号填列）|||
||1,051,404,587.16|2,193,043,980.17
减：所得税费用|||
五、净利润（净亏损以“－”号填列）||5,135,758,745.43|7,206,579,494.38
