page|160
|020 年度合并及银行现金流量表||||
(除另有标明外，所有金额均以人民币千元列示)|||||
|附注|本集团|||本行
||2020 年度|2019 年度|2020 年度|2019 年度
经营活动产生的现金流量|||||
存放同业及其他金融机构款|||||
项净减少额||2,349,354|1,763,767|2,351,354|1,838,767
买入返售金融资产净减少额||-|11,905,626|-|4,999,500
向中央银行借款净增加额||33,642,647|-|33,568,681|-
同业及其他金融机构存放|||||
款项净增加额||40,287,679|23,885,684|41,219,940|23,931,078
拆入资金净增加额||1,354,330|5,301,961|232,124|4,103,241
交易性金融负债净增加额||-|398,725|-|298,418
卖出回购金融资产款净增|||||
加额||12,594,310|2,189,601|11,179,902|1,697,433
客户存款净增加额||111,106,615|143,657,209|109,729,052|140,562,800
收取的利息||60,233,083|60,276,971|59,384,355|58,414,781
收取的手续费及佣金||6,339,404|7,931,476|5,774,660|7,607,165
收到其他与经营活动有关的|||||
现金||1,870,730|3,944,801|1,828,043|3,566,058
经营活动现金流入小计||269,778,152|261,255,821|265,268,111|247,019,241
存放中央银行款项净增加额||(3,415,815)|(2,891,079)|(2,636,893)|(2,909,233)
拆出资金净增加额||(20,347,319)|(63,621,350)|(20,532,531)|(63,088,813)
客户贷款及垫款净增加额||(139,076,427)|(132,273,512)|(136,391,899)|(133,186,035)
为交易目的而持有的金融资|||||
产净增加额||(26,200,852)|(5,092)|(18,170,089)|(52,129)
交易性金融负债净减少额||(310,181)|-|(298,418)|-
向中央银行借款净减少额||-|(10,772,000)|-|(10,732,000)
支付的利息||(41,355,890)|(38,871,189)|(40,892,415)|(38,400,793)
支付的手续费及佣金||(1,268,134)|(779,394)|(947,927)|(763,158)
支付给职工以及为职工支付|||||
的现金||(5,565,421)|(5,387,088)|(5,273,992)|(5,096,655)
支付的各项税费||(9,927,503)|(8,534,332)|(9,884,972)|(8,376,758)
支付其他与经营活动有关的|||||
现金||(9,838,659)|(6,053,180)|(8,875,139)|(5,710,901)
经营活动现金流出小计||(257,306,201)|(269,188,216)|(243,904,275)|(268,316,475)
经营活动产生的现金流量|五、||||
净额|41.1|12,471,951|(7,932,395)|21,363,836|(21,297,234)
page|161
上海银行股份有限公司|||||
2|020 年度合并及银行现金流量表(续)||||
(除另有标明外，所有金额均以人民币千元列示)|||||
|附注|本集团||本行|
||2020 年度|2019 年度|2020 年度|2019 年度
投资活动产生的现金流量：|||||
收回投资收到的现金||641,826,148|525,578,230|633,870,055|524,991,389
取得投资收益收到的现金||29,975,651|33,558,016|28,723,332|33,361,593
处置长期资产收回的现金||7,014|7,000|7,598|7,000
投资活动现金流入小计||671,808,813|559,143,246|662,600,985|558,359,982
投资支付的现金||(666,563,996)|(577,937,546)|(665,721,936)|(564,310,893)
购建长期资产支付的现金||(1,128,188)|(741,746)|(1,118,570)|(731,163)
投资活动现金流出小计||(667,692,184)|(578,679,292)|(666,840,506)|(565,042,056)
投资活动产生的现金流量|||||
净额||4,116,629|(19,536,046)|(4,239,521)|(6,682,074)
筹资活动产生的现金流量：|||||
发行债务证券收到的现金||634,253,113|834,936,294|626,540,000|832,874,773
筹资活动现金流入小计||634,253,113|834,936,294|626,540,000|832,874,773
偿还发行债务证券本金支付|||||
的现金||(635,158,945)|(833,592,527)|(630,708,097)|(829,177,536)
偿付发行债务证券利息支付|||||
的现金||(5,545,726)|(6,192,116)|(5,374,493)|(6,040,964)
分配股利支付的现金||(6,740,473)|(5,926,265)|(6,733,774)|(5,917,606)
筹资活动现金流出小计||(647,445,144)|(845,710,908)|(642,816,364)|(841,136,106)
筹资活动产生的现金流量|||||
净额||(13,192,031)|(10,774,614)|(16,276,364)|(8,261,333)
汇率变动对现金及现金等价|||||
物的影响||(734,682)|150,304|(536,334)|109,771
现金及现金等价物净增加|五、||||
/(减少)额|41.2|2,661,867|(38,092,751)|311,617|(36,130,870)
加：年初现金及现金等价物|||||
余额||47,309,014|85,401,765|45,071,409|81,202,279
|五、||||
年末现金及现金等价物余额|41.3|49,970,881|47,309,014|45,383,026|45,071,409
后|附财务报表附注为本财务报表的组成部分。||||
此|财务报表已于 2021 年 4 月 23 日获董事会批准。||||
财务报表由以下人士签署：|||||
董事长：||行长：||副行长兼首席财务官：|
