page|93
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||17,077,175,521.88|17,443,249,641.87
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
page|94
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||226,333,601.08|249,903,224.40
收到其他与经营活动有关的现金||1,185,464,727.45|1,262,574,048.97
经营活动现金流入小计||18,488,973,850.41|18,955,726,915.24
购买商品、接受劳务支付的现金||12,806,823,878.83|12,521,045,295.43
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,564,035,092.31|1,411,428,512.11
支付的各项税费||1,250,195,241.88|1,543,405,794.62
支付其他与经营活动有关的现金||2,536,325,844.57|2,363,056,234.87
经营活动现金流出小计||18,157,380,057.59|17,838,935,837.03
经营活动产生的现金流量净额||331,593,792.82|1,116,791,078.21
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||7,898,000.00|9,203,315.21
处置固定资产、无形资产和其他长期资产收回的现金净额||780,021,914.60|11,624,189.36
处置子公司及其他营业单位收到的现金净额||-423,325.65|45,000,000.00
收到其他与投资活动有关的现金||20,075,171.25|
投资活动现金流入小计||807,571,760.20|65,827,504.57
购建固定资产、无形资产和其他长期资产支付的现金||2,701,508,574.03|2,583,938,113.74
投资支付的现金||1,000,000.00|11,500,308.84
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||99,992,068.98|297,901,056.97
支付其他与投资活动有关的现金|||
投资活动现金流出小计||2,802,500,643.01|2,893,339,479.55
投资活动产生的现金流量净额||-1,994,928,882.81|-2,827,511,974.98
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||500,000,000.00|500,000,000.00
其中：子公司吸收少数股东投资收到的现金||500,000,000.00|500,000,000.00
取得借款收到的现金||4,497,054,626.37|3,831,787,247.63
收到其他与筹资活动有关的现金||1,227,680,202.39|
筹资活动现金流入小计||6,224,734,828.76|4,331,787,247.63
偿还债务支付的现金||4,498,502,676.47|3,323,284,800.00
分配股利、利润或偿付利息支付的现金||416,893,135.39|561,051,969.53
其中：子公司支付给少数股东的股利、利润|||111,000,000.00
支付其他与筹资活动有关的现金||280,774,531.47|133,317,311.26
筹资活动现金流出小计||5,196,170,343.33|4,017,654,080.79
筹资活动产生的现金流量净额||1,028,564,485.43|314,133,166.84
四、汇率变动对现金及现金等价物的影响||-540,466.35|-20,871,100.93
五、现金及现金等价物净增加额||-635,311,070.91|-1,417,458,830.86
加：期初现金及现金等价物余额||2,949,169,278.09|4,366,628,108.95
