page|75
项目|附注七|2020 年度|2019 年度
一、营业总收入|注释 61|2,797,839,345.42|2,563,308,389.26
其中：营业收入|注释 61|2,797,839,345.42|2,563,308,389.26
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||2,078,529,556.94|1,927,616,340.45
其中：营业成本|注释 61|1,625,323,274.86|1,549,514,929.83
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
page|76
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|注释 62|16,999,207.53|22,817,652.58
销售费用|注释 63|49,727,016.57|47,581,363.51
管理费用|注释 64|218,395,854.31|198,689,730.65
研发费用|注释 65|98,709,676.36|84,277,158.59
财务费用|注释 66|69,374,527.31|24,735,505.29
其中：利息费用||57,060,651.60|24,552,806.60
利息收入||22,895,018.93|2,156,298.61
加：其他收益|注释 67|35,441,134.09|34,717,447.91
投资收益（损失以“－”号填列）|注释 68|22,253,658.75|-2,456,907.58
其中：对联营企业和合营企业的投资收益||5,441,470.16|-5,561,805.61
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|注释 70|1,095,302.56|2,526,498.71
信用减值损失（损失以“-”号填列）|注释 71|-167,081,976.29|-162,122,248.34
资产减值损失（损失以“-”号填列）|注释 72|-2,971,453.44|
资产处置收益（损失以“－”号填列）|注释 73|-232,511.61|233,535.22
三、营业利润（亏损以“－”号填列）||607,813,942.54|508,590,374.73
加：营业外收入|注释 74|12,842.22|4,325.52
减：营业外支出|注释 75|940,504.15|4,027,723.54
四、利润总额（亏损总额以“－”号填列）||606,886,280.61|504,566,976.71
减：所得税费用|注释 76|90,236,843.62|72,053,443.82
五、净利润（净亏损以“－”号填列）||516,649,436.99|432,513,532.89
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||516,649,436.99|432,513,532.89
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||513,587,335.27|430,363,528.08
2.少数股东损益（净亏损以“-”号填列）||3,062,101.72|2,150,004.81
六、其他综合收益的税后净额||1,559,633.74|-70,043.64
（一）归属母公司所有者的其他综合收益的税后净额||1,559,633.74|-70,043.64
page|77
1．不能重分类进损益的其他综合收益|||-158,980.69
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||-158,980.69
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||1,559,633.74|88,937.05
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||1,559,633.74|88,937.05
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||518,209,070.73|432,443,489.25
（一）归属于母公司所有者的综合收益总额||515,146,969.01|430,293,484.44
（二）归属于少数股东的综合收益总额||3,062,101.72|2,150,004.81
八、每股收益：|||
（一）基本每股收益(元/股)||2.16|1.83
（二）稀释每股收益(元/股)||2.14|1.83
