page|79
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,215,000,015.96|1,586,565,651.85
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|注释 78|265,557,513.02|128,353,653.69
经营活动现金流入小计||2,480,557,528.98|1,714,919,305.54
购买商品、接受劳务支付的现金||1,125,622,229.98|812,460,843.59
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||623,647,380.55|657,859,249.74
page|80
支付的各项税费||194,463,406.27|181,867,819.40
支付其他与经营活动有关的现金|注释 78|286,433,659.84|371,264,315.43
经营活动现金流出小计||2,230,166,676.64|2,023,452,228.16
经营活动产生的现金流量净额||250,390,852.34|-308,532,922.62
二、投资活动产生的现金流量：|||
收回投资收到的现金||217,244,374.11|158,000,000.00
取得投资收益收到的现金||15,634,470.18|2,026,673.98
处置固定资产、无形资产和其他长期资产收回的现金净额||436,296.22|225,119.71
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||233,315,140.51|160,251,793.69
购建固定资产、无形资产和其他长期资产支付的现金||31,746,230.65|63,662,697.34
投资支付的现金||485,097,853.00|619,859,455.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||35,854,049.16|16,495,559.11
支付其他与投资活动有关的现金|||
投资活动现金流出小计||552,698,132.81|700,017,711.45
投资活动产生的现金流量净额||-319,382,992.30|-539,765,917.76
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||29,370,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||1,115,300,000.00|1,180,000,000.00
收到其他与筹资活动有关的现金|注释 78||30,300,000.00
筹资活动现金流入小计||1,115,300,000.00|1,239,670,000.00
偿还债务支付的现金||731,400,000.00|280,000,000.00
分配股利、利润或偿付利息支付的现金||183,441,279.33|130,503,238.88
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||66,011,750.33|
筹资活动现金流出小计||980,853,029.66|410,503,238.88
筹资活动产生的现金流量净额||134,446,970.34|829,166,761.12
四、汇率变动对现金及现金等价物的影响||-215,279.08|-489,372.20
五、现金及现金等价物净增加额||65,239,551.30|-19,621,451.46
加：期初现金及现金等价物余||665,023,386.12|684,644,837.58
page|81
额|||
六、期末现金及现金等价物余额||730,262,937.42|665,023,386.12
