page|71
项目|附注七|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|注释 1|817,616,973.22|699,350,466.54
结算备付金|||
拆出资金|||
交易性金融资产|注释 2||102,240.00
衍生金融资产|||
应收票据|注释 4|1,646,601.00|4,750,000.00
应收账款|注释 5|1,569,051,104.91|2,675,671,831.97
应收款项融资|||
预付款项|注释 7|64,548,466.84|20,854,779.96
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|注释 8|486,986,896.77|483,578,221.37
其中：应收利息||2,239,262.86|1,106,557.38
应收股利|||
买入返售金融资产|||
存货|注释 9|309,233,352.31|487,585,858.43
合同资产|注释 10|1,351,300,769.85|
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|注释 13|64,071,877.53|2,125,150.18
流动资产合计||4,664,456,042.43|4,374,018,548.45
非流动资产：|||
page|72
发放贷款和垫款|||
债权投资|||
其他债权投资|注释 15|250,000,000.00|200,000,000.00
长期应收款||793,399,812.15|345,341,951.67
长期股权投资|注释 17|444,672,779.33|297,204,688.17
其他权益工具投资|注释 18|67,352,508.12|53,722,469.31
其他非流动金融资产|注释 19|11,729,866.91|10,145,174.35
投资性房地产|注释 20|13,984,778.39|14,638,978.42
固定资产|注释 21|410,282,590.72|430,711,475.28
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|注释 26|29,422,493.73|34,841,614.30
开发支出|||
商誉|注释 28|77,356,310.40|45,224,845.68
长期待摊费用|注释 29|7,158,407.65|7,336,024.95
递延所得税资产|注释 30|134,003,339.38|116,039,305.38
其他非流动资产|注释 31|17,400,000.00|23,400,000.00
非流动资产合计||2,256,762,886.78|1,578,606,527.51
资产总计||6,921,218,929.21|5,952,625,075.96
流动负债：|||
短期借款|注释 32|1,067,137,000.00|730,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|注释 35|168,062,500.00|
应付账款|注释 36|813,070,312.64|708,118,262.62
预收款项|注释 37|1,038,720.30|94,845,600.61
合同负债|注释 38|108,989,547.07|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|注释 39|440,849,572.75|568,252,838.20
应交税费|注释 40|217,224,025.25|166,625,661.72
其他应付款|注释 41|153,941,810.55|119,546,218.79
其中：应付利息|||
应付股利||1,219,911.89|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|注释 43|309,423,239.72|
其他流动负债|注释 44|6,248,987.36|
流动负债合计||3,285,985,715.64|2,387,388,581.94
非流动负债：|||
保险合同准备金|||
page|73
长期借款|注释 45|50,238,212.50|300,000,000.00
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|注释 48|489,894,979.76|587,479,355.50
长期应付职工薪酬|||
预计负债|||
递延收益|注释 51|7,902,826.39|9,793,399.14
递延所得税负债|注释 30|1,132,466.73|861,293.59
其他非流动负债|注释 52|27,666,584.51|30,240,660.55
非流动负债合计||576,835,069.89|928,374,708.78
负债合计||3,862,820,785.53|3,315,763,290.72
所有者权益（或股东权益）：|||
实收资本（或股本）|注释 53|241,437,855.00|185,890,627.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|注释 55|801,062,260.79|839,722,435.12
减：库存股|注释 56|56,104,380.00|62,174,640.00
其他综合收益|注释 57|1,624,151.59|-94,288.96
专项储备|注释 58|28,925,942.89|22,248,842.72
盈余公积|注释 59|214,707,083.81|168,884,602.24
一般风险准备|||
未分配利润|注释 60|1,804,526,664.11|1,472,978,645.79
归属于母公司所有者权益（或股东权益）合计||3,036,179,578.19|2,627,456,223.91
少数股东权益||22,218,565.49|9,405,561.33
所有者权益（或股东权益）合计||3,058,398,143.68|2,636,861,785.24
负债和所有者权益（或股东权益）总计||6,921,218,929.21|5,952,625,075.96
