page|84
项目|附注|本年发生额|上年发生额
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||8,514,264,512.72|8,652,717,664.71
收到其他与经营活动有关的现金|(五)50(1)|209,892,768.78|415,263,481.18
经营活动现金流入小计||8,724,157,281.50|9,067,981,145.89
购买商品、接受劳务支付的现金||4,831,757,378.96|5,386,414,781.45
支付给职工以及为职工支付的现金||535,281,849.68|487,863,021.94
支付的各项税费||2,339,951,706.66|1,360,440,841.80
支付其他与经营活动有关的现金|(五)50(2)|873,276,424.89|605,550,921.40
经营活动现金流出小计||8,580,267,360.19|7,840,269,566.59
经营活动产生的现金流量净额|(五)51(1)|143,889,921.31|1,227,711,579.30
二、投资活动产生的现金流量：|||
收回投资收到的现金||12,768,931.82|275,480,090.67
取得投资收益收到的现金||3,000,000.00|10,172,193.28
处置固定资产、无形资产和其他长期资产收回的     现金净额||648,583.00|222,807.00
收到其他与投资活动有关的现金|(五)50(3)|5,296,858,937.60|17,236,608,106.74
投资活动现金流入小计||5,313,276,452.42|17,522,483,197.69
购建固定资产、无形资产和其他长期资产支付的现金||3,743,914.55|13,274,893.05
投资支付的现金||39,050,000.00|29,450,000.00
取得子公司及其他营业单位支付的现金净额|(五)50(4)|-|85,513,230.04
支付其他与投资活动有关的现金|(五)50(5)|5,293,951,707.87|17,217,100,000.00
投资活动现金流出小计||5,336,745,622.42|17,345,338,123.09
投资活动产生的现金流量净额||(23,469,170.00)|177,145,074.60
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|-
其中：子公司吸收少数股东投资收到的现金||-|-
取得借款收到的现金||2,895,000,000.00|8,086,000,000.00
收到其他与筹资活动有关的现金|(五)50(6)|663,666,145.36|2,811,963,434.83
筹资活动现金流入小计||3,558,666,145.36|10,897,963,434.83
偿还债务支付的现金||2,462,160,414.88|6,040,946,547.72
分配股利、利润或偿付利息支付的现金||1,501,037,553.72|1,287,450,371.81
其中：子公司支付给少数股东的股利、利润||-|-
支付其他与筹资活动有关的现金|(五)50(7)|1,207,803,042.52|3,831,799,801.02
筹资活动现金流出小计||5,171,001,011.12|11,160,196,720.55
筹资活动产生的现金流量净额||(1,612,334,865.76)|(262,233,285.72)
四、汇率变动对现金及现金等价物的影响||(51,384.66)|(118,268.01)
五、现金及现金等价物净增加(减少)额||(1,491,965,499.11)|1,142,505,100.17
加：年初现金及现金等价物余额|(五)51(2)|3,940,196,604.25|2,797,691,504.08
六、年末现金及现金等价物余额|(五)51(2)|2,448,231,105.14|3,940,196,604.25
