page|82
项目|附注|本年发生额|上年发生额
一、营业收入|(五)36|8,676,138,938.35|10,697,019,545.17
减：营业成本|(五)36|6,113,033,758.62|7,782,099,234.05
税金及附加|(五)37|700,905,624.92|923,816,885.15
销售费用|(五)38|263,913,837.55|436,905,942.74
管理费用|(五)39|350,999,294.05|350,469,358.85
研发费用|(五)40|14,689,122.07|-
财务费用|(五)41|365,708,025.12|476,089,528.05
其中：利息费用||451,028,931.65|614,263,586.67
利息收入||89,098,894.05|142,708,240.77
加：其他收益|(五)42|6,310,557.96|12,164,976.05
投资收益|(五)43|40,026,776.07|34,996,616.37
其中：对联营企业和合营企业的投资收益||34,592,290.32|15,057,440.79
以摊余成本计量的金融资产终止确认收益||96,870.82|774,089.67
信用减值利得(损失)|(五)44|(4,054,595.00)|2,442,291.36
资产减值利得(损失)|(五)45|(766,691,330.39)|(162,436,545.52)
资产处置收益||490,817.97|41,895.28
二、营业利润||142,971,502.63|614,847,829.87
加：营业外收入|(五)46|15,733,115.86|30,461,702.89
减：营业外支出|(五)47|6,886,447.83|47,511,661.65
三、利润总额||151,818,170.66|597,797,871.11
减：所得税费用|(五)48|86,485,732.57|437,833,452.68
四、净利润||65,332,438.09|159,964,418.43
(一)按经营持续性分类：|||
1、持续经营净利润||65,332,438.09|159,964,418.43
2、终止经营净利润||-|-
(二)按所有权归属分类：|||
1、归属于母公司股东的净利润||205,929,030.96|281,350,353.66
2、少数股东损益||(140,596,592.87)|(121,385,935.23)
五、其他综合收益的税后净额|(五)49|-|(1,050,000.00)
归属于母公司股东的其他综合收益的税后净额||-|(1,050,000.00)
(一)不能重分类进损益的其他综合收益||-|(1,050,000.00)
1、其他权益工具投资公允价值变动||-|(1,050,000.00)
归属于少数股东的其他综合收益的税后净额||-|-
六、综合收益总额||65,332,438.09|158,914,418.43
归属于母公司股东的综合收益总额||205,929,030.96|280,300,353.66
归属于少数股东的综合收益总额||(140,596,592.87)|(121,385,935.23)
七、每股收益|||
(一)基本每股收益||0.3097|0.4232
(二)稀释每股收益||0.3097|0.4232
