page|81
项目|附 注|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,725,022,174.73|4,828,016,600.59
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||10,063,766.65|51,851,520.43
page|82
经营活动现金流入小计||2,735,085,941.38|4,879,868,121.02
购买商品、接受劳务支付的现金||1,584,773,162.51|3,123,428,490.74
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||167,910,369.98|254,821,136.46
支付的各项税费||324,397,903.40|575,776,331.56
支付其他与经营活动有关的现金||612,945,145.32|727,835,967.39
经营活动现金流出小计||2,690,026,581.21|4,681,861,926.15
经营活动产生的现金流量净额||45,059,360.17|198,006,194.87
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||20,127.80|
处置固定资产、无形资产和其他长期资产收回的现金净额||8,964.00|11,485,207.28
处置子公司及其他营业单位收到的现金净额||-|2,991.83
收到其他与投资活动有关的现金||-|300,000.00
投资活动现金流入小计||29,091.80|11,788,199.11
购建固定资产、无形资产和其他长期资产支付的现金||44,919,975.90|372,822,011.29
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||3,330,850.14|
支付其他与投资活动有关的现金|||
投资活动现金流出小计||48,250,826.04|372,822,011.29
投资活动产生的现金流量净额||-48,221,734.24|-361,033,812.18
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||70,000,000.00|716,148,900.00
收到其他与筹资活动有关的现金||48,619,378.33|1,053,461,136.70
筹资活动现金流入小计||118,619,378.33|1,769,610,036.70
偿还债务支付的现金||84,588,880.48|527,428,204.62
分配股利、利润或偿付利息支付的现金||9,660,653.60|86,033,396.25
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||2,822,696.68|1,018,077,559.15
筹资活动现金流出小计||97,072,230.76|1,631,539,160.02
筹资活动产生的现金流量净额||21,547,147.57|138,070,876.68
四、汇率变动对现金及现金等价物的影响||-|-155,188.76
五、现金及现金等价物净增加额||18,384,773.50|-25,111,929.39
加：期初现金及现金等价物余额||13,171,391.93|38,283,321.32
六、期末现金及现金等价物余额||31,556,165.43|13,171,391.93
