page|78
项目|附 注|2020 年度|2019 年度
一、营业总收入||2,890,517,585.12|5,171,086,040.98
其中：营业收入||2,890,517,585.12|5,171,086,040.98
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||3,211,340,427.45|4,575,750,617.43
其中：营业成本||1,643,961,661.57|2,943,351,118.31
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||45,795,732.89|61,094,662.62
page|79
销售费用||506,962,764.09|700,300,658.63
管理费用||256,355,387.14|239,664,825.48
研发费用||122,180,899.45|212,697,329.81
财务费用||636,083,982.31|418,642,022.58
其中：利息费用||635,758,366.36|420,116,381.41
利息收入||103,954.00|6,252,744.06
加：其他收益||19,096,820.18|30,738,681.32
投资收益（损失以“－”号填列）||20,127.80|
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-920,926,129.64|-305,670,687.91
资产减值损失（损失以“-”号填列）||-6,171,589.55|-9,456,090.53
资产处置收益（损失以“－”号填列）||-149,526,852.52|7,302,818.36
三、营业利润（亏损以“－”号填列）||-1,378,330,466.06|318,250,144.79
加：营业外收入||2,662,791.21|408,391.32
减：营业外支出||41,710,712.99|22,525,628.40
四、利润总额（亏损总额以“－”号填列）||-1,417,378,387.84|296,132,907.71
减：所得税费用||-86,145,561.54|155,654,693.91
五、净利润（净亏损以“－”号填列）||-1,331,232,826.30|140,478,213.80
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-1,331,232,826.30|140,478,213.80
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||-1,292,517,978.70|149,533,976.28
2.少数股东损益（净亏损以“-”号填列）||-38,714,847.60|-9,055,762.48
六、其他综合收益的税后净额|||
（一）归属母公司所有者的其他综合收益的税后净额|||
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
page|80
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额|||
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||-1,331,232,826.30|140,478,213.80
（一）归属于母公司所有者的综合收益总额||-1,292,517,978.70|149,533,976.28
（二）归属于少数股东的综合收益总额||-38,714,847.60|-9,055,762.48
八、每股收益：|||
（一）基本每股收益(元/股)||-2.06|0.24
（二）稀释每股收益(元/股)||-2.06|0.24
