page|95
项目|附注|2020 年度|2019 年度
一、营业总收入||2,028,369,610.73|1,205,512,776.37
其中：营业收入|十一、七、61|2,028,369,610.73|1,205,512,776.37
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||1,856,540,409.69|1,072,313,969.97
其中：营业成本|十一、七、61|1,237,160,937.62|664,613,876.78
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|十一、七、62|13,695,346.81|11,678,975.77
销售费用|十一、七、63|187,484,708.58|129,396,390.70
管理费用|十一、七、64|187,689,288.39|124,605,567.58
研发费用|十一、七、65|182,088,736.89|131,238,047.72
财务费用|十一、七、66|48,421,391.40|10,781,111.42
其中：利息费用||26,998,646.42|10,910,061.64
利息收入||4,731,783.21|1,705,275.92
加：其他收益|十一、七、67|44,679,105.29|9,610,297.26
投资收益（损失以“－”号填列）|十一、七、68|1,025,992.99|2,276,903.30
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|十一、七、70|5,392,200.00|550,800.00
|信用减值损失（损失以“-”号填列）  十一、七、71|-21,465,162.96|-2,949,663.34
|资产减值损失（损失以“-”号填列）  十一、七、72|-1,866,779.83|-6,941,635.89
资产处置收益（损失以“－”号填列）|十一、七、73|-175,228.64|-75,291.31
三、营业利润（亏损以“－”号填列）||199,419,327.89|135,670,216.42
加：营业外收入|十一、七、74|1,392,255.24|8,196,159.69
减：营业外支出|十一、七、75|1,569,532.95|1,478,614.29
四、利润总额（亏损总额以“－”号填列）||199,242,050.18|142,387,761.82
page|96
项目|附注|2020 年度|2019 年度
减：所得税费用|十一、七、76|15,396,816.41|13,201,043.37
五、净利润（净亏损以“－”号填列）||183,845,233.77|129,186,718.45
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||183,845,233.77|129,186,718.45
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||174,917,842.27|122,418,621.78
2.少数股东损益（净亏损以“-”号填列）||8,927,391.50|6,768,096.67
六、其他综合收益的税后净额||-4,117,264.46|35,291.13
（一）归属母公司所有者的其他综合收益的税后净额||-3,189,987.62|35,291.13
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-3,189,987.62|35,291.13
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-3,189,987.62|35,291.13
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-927,276.84|
七、综合收益总额||179,727,969.31|129,222,009.58
（一）归属于母公司所有者的综合收益总额||171,727,854.65|122,453,912.91
（二）归属于少数股东的综合收益总额||8,000,114.66|6,768,096.67
八、每股收益：|||
（一）基本每股收益(元/股)||1.00|0.74
（二）稀释每股收益(元/股)||1.00|0.74
