page|85
项目|附注|2019 年 12 月 31 日|2019 年 1 月 1 日|2018 年 12 月 31 日
流动资产：||||
货币资金|六、1|1,479,440,644.56|1,467,085,146.16|1,467,085,146.16
结算备付金||||
拆出资金||||
交易性金融资产|六、2|43,524,720.00|53,306,952.84|53,306,952.84
以公允价值计量且其变动计入当期损益的金融资产||||
衍生金融资产||||
应收票据||||386,554,208.69
应收账款|六、3|1,373,019,433.35|1,319,870,618.41|1,319,870,618.41
应收款项融资|六、4|424,126,689.73|386,554,208.69|
预付款项|六、5|120,009,260.55|139,303,429.64|139,303,429.64
应收保费||||
应收分保账款||||
应收分保合同准备金||||
其他应收款|六、6|11,442,307.67|22,083,705.25|22,083,705.25
其中：应收利息|六、6|||
应收股利|六、6|||
买入返售金融资产||||
存货|六、7|1,594,557,577.10|1,328,371,226.83|1,328,371,226.83
合同资产||||
持有待售资产||||
一年内到期的非流动资产||||
其他流动资产|六、8|88,630,328.35|63,462,884.36|63,462,884.36
流动资产合计||5,134,750,961.31|4,780,038,172.18|4,780,038,172.18
非流动资产：||||
发放贷款和垫款||||
债权投资|六、9|106,291,155.56||
可供出售金融资产||||
其他债权投资||||
持有至到期投资||||
长期应收款||||
长期股权投资|六、10|657,905,598.07|630,925,040.53|630,925,040.53
其他权益工具投资|六、11|142,711,877.15|142,085,807.49|142,085,807.49
其他非流动金融资产||||
投资性房地产|六、12|22,547,019.08|23,581,793.72|23,581,793.72
固定资产|六、13|1,160,718,929.86|839,783,477.51|839,783,477.51
在建工程|六、14|203,075,649.02|359,885,414.18|359,885,414.18
生产性生物资产||||
page|86
油气资产||||
使用权资产|六、15|3,603,235.50|4,597,369.65|
无形资产|六、16|174,059,565.49|173,526,636.32|173,526,636.32
开发支出|六、17|1,512,045.28|1,332,045.28|1,332,045.28
商誉|六、18|||
长期待摊费用|六、19|6,778,439.52|8,656,220.51|8,656,220.51
递延所得税资产|六、20|183,803,743.60|133,289,799.65|133,289,799.65
其他非流动资产|六、21|45,419,022.13|12,201,797.25|12,201,797.25
非流动资产合计||2,708,426,280.26|2,329,865,402.09|2,325,268,032.44
资产总计||7,843,177,241.57|7,109,903,574.27|7,105,306,204.62
流动负债：||||
短期借款|六、22||252,000,000.00|252,000,000.00
向中央银行借款||||
拆入资金||||
交易性金融负债||||
以公允价值计量且其变动计入当期损益的金融负债||||
衍生金融负债||||
应付票据|六、23|5,749,000.00|12,381,600.00|12,381,600.00
应付账款|六、24|660,903,755.93|588,234,096.62|588,234,096.62
预收款项||||
合同负债|六、25|364,300,171.97|235,398,654.38|235,398,654.38
卖出回购金融资产款||||
吸收存款及同业存放||||
代理买卖证券款||||
代理承销证券款||||
应付职工薪酬|六、26|142,939,915.17|116,357,636.03|116,357,636.03
应交税费|六、27|112,270,115.62|97,146,755.72|97,146,755.72
其他应付款|六、28|870,081,958.07|612,544,649.87|612,544,649.87
其中：应付利息|六、28|33,628.68|362,100.00|362,100.00
应付股利|六、28|13,568,873.47|12,747,902.80|12,747,902.80
应付手续费及佣金||||
应付分保账款||||
持有待售负债||||
一年内到期的非流动负债|六、29|962,036.14|913,147.00|
其他流动负债||||
流动负债合计||2,157,206,952.90|1,914,976,539.62|1,914,063,392.62
非流动负债：||||
保险合同准备金||||
长期借款|六、30|30,000,000.00||
应付债券||||
其中：优先股||||
永续债||||
租赁负债|六、31|2,710,186.51|3,684,222.65|
长期应付款|六、32|38,781,943.06|38,781,943.06|38,781,943.06
长期应付职工薪酬|六、33|37,390,208.52|41,449,658.75|41,449,658.75
page|87
预计负债||||
递延收益|六、34|44,942,745.25|50,703,038.43|50,703,038.43
递延所得税负债|六、20|8,938,866.11|5,911,452.90|5,911,452.90
其他非流动负债||||
非流动负债合计||162,763,949.45|140,530,315.79|136,846,093.14
负债合计||2,319,970,902.35|2,055,506,855.41|2,050,909,485.76
所有者权益（或股东权益）：||||
|实收资本（或股本）  六、35|772,803,076.00|768,873,076.00|768,873,076.00
其他权益工具||||
其中：优先股||||
永续债||||
资本公积|六、36|1,348,736,932.38|1,323,858,121.13|1,323,858,121.13
减：库存股|六、37|28,296,000.00||
其他综合收益|六、38|86,175,030.28|81,921,096.53|81,921,096.53
专项储备||||
盈余公积|六、39|436,329,000.00|434,364,000.00|434,364,000.00
一般风险准备||||
未分配利润|六、40|2,772,425,788.30|2,317,974,183.36|2,317,974,183.36
归属于母公司所有者权益（或股东权益）合计||5,388,173,826.96|4,926,990,477.02|4,926,990,477.02
少数股东权益||135,032,512.26|127,406,241.84|127,406,241.84
所有者权益（或股东权益）合计||5,523,206,339.22|5,054,396,718.86|5,054,396,718.86
负债和所有者权益（或股东权益）总计||7,843,177,241.57|7,109,903,574.27|7,105,306,204.62
