page|126
2020 年度合并及银行利润表||||
（除特别注明外，金额单位均为人民币百万元）||||
||合并||本行
项目|附注八|2020 年|2019 年|2019 年  2020 年
|||(重述)|(重述)
一、营业收入||64,299|63,129|62,776   61,574
利息收入|32|112,553|111,038|109,934    108,591
利息支出|32|(  60,948 )|(  61,161 )|(  59,641 )  (  59,755 )
利息净收入|32|51,605|49,877|50,293   48,836
手续费及佣金收入|33|7,794|8,267|7,441   7,789
手续费及佣金支出|33|(    1,404 )|(    1,179 )|(    1,388 )  (    1,163 )
手续费及佣金净收入|33|6,390|7,088|6,053  6,626
投资收益|34|6,239|5,824|6,387  5,797
其中：对联营及合营企业的||||
投资收益||101|141|101  141
以摊余成本计量的金融||||
资产终止确认收益/(损失)||4|(           1 )|4  (           1 )
公允价值变动损益|35|(       115 )|56|(       115 ) 56
汇兑收益||51|142|49  143
其他业务收入|36|129|142|109  116
二、营业支出||(  39,763 )|(  37,778 )|(  38,650 )  (  36,831 )
税金及附加|37|(       685 )|(       546 )|(       683 )  (       541 )
业务及管理费|38|(  14,192 )|(  14,667 )|(  13,870 )  (  14,333 )
信用减值损失|39|(  24,864 )|(  22,547 )|(  24,075 )  (  21,939 )
其他资产减值损失||(           6  )|-|(           6 ) -
其他业务成本||(         16 )|(         18 )|(         16 )  (         18 )
三、营业利润||24,536|25,351|24,126   24,743
加：营业外收入|40|86|117|82   115
减：营业外支出|41|(       188 )|(       321 )|(       186 )  (       321 )
四、利润总额||24,434|25,147|24,022  24,537
减：所得税费用|42|(    2,788 )|(    3,556 )|(    2,653 )  (    3,400 )
page|127
（除特别注明外，金额单位均为人民币百万元）||||
||合并|本行|
|附注|||
项目|八|2020 年|2019 年    2020 年|2019 年
|||(重述)|(重述)
六、其他综合收益的税后净额||(  2,205 )|1,383  (  2,205 )|1,381
归属于母公司股东的其他综合收益的税后||||
净额|26|(  2,205 )|1,381  (  2,205 )|1,381
(一)以后不能重分类进损益的其他综合收益||(     104 )|292  (     104 )|292
1.重新计量设定受益计划净负债或净资||||
产的变动||-|-  -|-
2.其他权益工具投资公允价值变动||(     104 )|292   (     104 )|292
(二)以后将重分类进损益的其他综合收益||(  2,101 )|1,089  (  2,101 )|1,089
1．其他债权投资公允价值变动||(  2,118 )|252  (  2,117 )|249
2．其他债权投资信用减值准备||(     103  )|663  (     104  )|666
3．权益法下可转损益的其他综合收益||120|174   120|174
归属于少数股东的其他综合收益的税后净||||
额||-|2|
七、综合收益总额||19,441|22,974  19,164|22,518
