page|79
2021 年度合并及公司现金流量表||||
(除特别注明外，金额单位为人民币元)||||
附注四|2021年度|2020年度|2021年度|2020年度
项       目||||
(除另注外)|合并|合并|公司|公司
一、经营活动产生的现金流量||||
销售商品、提供劳务收到的现金|35,855,302,233|32,249,365,646|25,996,126,863|22,805,199,928
收到的税费返还|15,883,560|17,073,564|15,799,723|12,486,674
收到其他与经营活动有关的现金 (56)(a)|1,096,195,654|1,733,115,735|241,233,225|464,645,732
经营活动现金流入小计|36,967,381,447|33,999,554,945|26,253,159,811|23,282,332,334
购买商品、接受劳务支付的现金|(17,558,042,372)|(16,972,116,557)|(18,343,471,464)|(17,006,621,715)
支付给职工以及为职工支付的现金|(5,025,945,414)|(4,471,128,901)|(1,780,506,992)|(1,629,430,523)
支付的各项税费|(5,350,364,310)|(4,943,789,057)|(1,620,786,275)|(1,247,625,874)
支付其他与经营活动有关的现金 (56)(b)|(2,989,917,896)|(2,659,098,068)|(1,949,687,137)|(1,670,448,490)
经营活动现金流出小计|(30,924,269,992)|(29,046,132,583)|(23,694,451,868)|(21,554,126,602)
经营活动产生的现金流量净额 (57)(a)|6,043,111,455|4,953,422,362|2,558,707,943|1,728,205,732
二、投资活动产生的现金流量||||
收回投资收到的现金|13,805,685,800|2,530,178,900|10,556,935,368|381,460,000
取得投资收益所收到的现金|295,822,969|87,605,830|1,868,503,874|772,672,950
处置固定资产、无形资产和其他||||
长期资产收回的现金净额|33,025,473|20,462,220|15,820,358|3,512,260
收到其他与投资活动有关的现金 (56)(c)|362,955,180|308,074,044|3,865,550|1,000,500
投资活动现金流入小计|14,497,489,422|2,946,320,994|12,445,125,150|1,158,645,710
购建固定资产、无形资产和其他||||
长期资产支付的现金|(1,634,967,831)|(1,295,167,063)|(370,261,448)|(369,140,677)
投资支付的现金|(22,990,409,580)|(3,000,100,000)|(11,845,560,000)|(607,778,181)
支付其他与投资活动有关的现金 (56)(d)|(121,875,573)|(138,792,096)|(4,921,618)|(1,669,800)
投资活动现金流出小计|(24,747,252,984)|(4,434,059,159)|(12,220,743,066)|(978,588,658)
投资活动产生的现金流量净额|(10,249,763,562)|(1,487,738,165)|224,382,084|180,057,052
三、筹资活动产生的现金流量||||
吸收投资收到的现金 附注十二|6,226,920|281,576,000|6,226,920|279,576,000
取得借款收到的现金|251,370,000|720,120,000|-|-
收到的其他与筹资活动有关的现金|9,000|-|-|-
筹资活动现金流入小计|257,605,920|1,001,696,000|6,226,920|279,576,000
偿还债务支付的现金|(701,572,470)|(270,540,000)|-|-
分配股利、利润或偿付利息支付的现金|(1,110,755,103)|(793,126,772)|(1,022,402,739)|(732,397,535)
其中：子公司支付给少数股东的股利、利润|(67,376,020)|(48,402,856)|—|—
支付其他与筹资活动有关的现金 (56)(e)|(58,900,983)|(294,120,079)|(21,098,868)|(16,926,317)
筹资活动现金流出小计|(1,871,228,556)|(1,357,786,851)|(1,043,501,607)|(749,323,852)
筹资活动产生的现金流量净额|(1,613,622,636)|(356,090,851)|(1,037,274,687)|(469,747,852)
