page|84
项            目|附注|2021 年度|2020 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||5,288,050,406.|5,269,470,493.8
收到的税费返还||39 150,731,404.95|1 118,303,250.38
收到其他与经营活动有关的现金|六、57|105,680,842.47|96,938,793.93
经营活动现金流入小计||5,544,462,653.|5,484,712,538.1
购买商品、接受劳务支付的现金||81 3,428,217,373.|2 3,184,470,403.7
支付给职工以及为职工支付的现金||72 850,131,357.41|3 770,976,274.87
支付的各项税费||195,234,811.65|236,558,393.32
支付其他与经营活动有关的现金|六、57|811,762,150.86|872,520,657.85
经营活动现金流出小计||5,285,345,693.|5,064,525,729.7
经营活动产生的现金流量净额||64 259,116,960.17|7 420,186,808.35
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||9,105,486.40|8,589,048.00
处置固定资产、无形资产和其他长期资产收回的现金净额||2,428,048.00|3,594,041.01
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||11,533,534.40|12,183,089.01
购建固定资产、无形资产和其他长期资产支付的现金||249,227,103.62|280,188,013.54
投资支付的现金|||30,000,000.00
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||249,227,103.62|310,188,013.54
投资活动产生的现金流量净额||-237,693,569.2|-298,004,924.53
三、筹资活动产生的现金流量：||2|
吸收投资收到的现金||50,374,502.00|52,004,800.00
其中：子公司吸收少数股东投资收到的现金||17,400,000.00|33,000,000.00
取得借款所收到的现金||551,409,280.00|426,569,000.00
收到其他与筹资活动有关的现金|六、57|10,400,200.00|618,000,000.00
筹资活动现金流入小计||612,183,982.00|1,096,573,800.0
偿还债务所支付的现金||559,738,689.16|0 729,655,801.87
分配股利、利润或偿付利息所支付的现金||148,433,153.71|143,287,406.86
其中：子公司支付给少数股东的股利、利润|||16,438,740.24
支付其他与筹资活动有关的现金|六、57|43,742,088.02|188,594,318.00
筹资活动现金流出小计||751,913,930.89|1,061,537,526.7
筹资活动产生的现金流量净额||-139,729,948.8|3 35,036,273.27
四、汇率变动对现金及现金等价物的影响||9 -7,865,079.93|-12,279,523.90
五、现金及现金等价物净增加额||-126,171,637.8|144,938,633.19
加：期初现金及现金等价物余额||7 722,563,226.56|577,624,593.37
六、期末现金及现金等价物余额||596,391,588.69|722,563,226.56
