page|59
项目|附注五|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||830,253,183.26|712,113,686.13
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||1,608,138.20|4,665,928.16
收到其他与经营活动有关的现金|(五十)|76,587,999.08|549,988,220.98
经营活动现金流入小计||908,449,320.54|1,266,767,835.27
购买商品、接受劳务支付的现金||229,795,590.25|228,556,520.85
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||279,165,390.22|274,101,248.59
支付的各项税费||42,737,084.70|19,813,378.23
支付其他与经营活动有关的现金|(五十)|378,723,651.27|238,985,868.26
经营活动现金流出小计||930,421,716.44|761,457,015.93
经营活动产生的现金流量净额||-21,972,395.90|505,310,819.34
二、投资活动产生的现金流量：|||
收回投资收到的现金||103,985,174.96|509,324,784.72
取得投资收益收到的现金||4,180,000.00|4,599,229.77
处置固定资产、无形资产和其他长期资产收回的现金净额||113,095.77|236,947.09
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||108,278,270.73|514,160,961.58
购建固定资产、无形资产和其他长期资产||13,587,742.27|7,900,766.63
page|60
支付的现金|||
投资支付的现金||204,934,245.83|277,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
投资活动现金流出小计||218,521,988.10|285,400,766.63
投资活动产生的现金流量净额||-110,243,717.37|228,760,194.95
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计|||
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金|||349,020.42
其中：子公司支付给少数股东的股利、利润|||349,020.42
支付其他与筹资活动有关的现金|(五十)||1,272,032.64
筹资活动现金流出小计|||1,621,053.06
筹资活动产生的现金流量净额||0|-1,621,053.06
四、汇率变动对现金及现金等价物的影响||-10,376,560.74|6,822,204.42
五、现金及现金等价物净增加额||-142,592,674.01|739,272,165.65
加：期初现金及现金等价物余额||1,249,388,924.43|510,116,758.78
六、期末现金及现金等价物余额||1,106,796,250.42|1,249,388,924.43
