page|82
3、合并利润表|||
|合并利润表||
编制单位：桂林旅游股份有限公司|2020 年度||单位：元
项     目||2020 年度|2019 年度
一、营业总收入||255,027,525.93|606,147,910.89
其中：营业收入||255,027,525.93|606,147,910.89
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||485,738,641.56|621,702,280.39
其中：营业成本||286,066,515.09|344,804,410.98
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任合同准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||12,009,885.88|51,074,365.81
销售费用||14,357,179.57|18,278,078.63
管理费用||122,161,656.05|156,943,629.47
研发费用|||
财务费用||51,143,404.97|50,601,795.50
其中：利息费用||51,238,766.30|51,510,757.58
利息收入||602,065.99|1,726,365.02
加：其他收益||25,438,508.18|6,610,787.38
投资收益（损失以“－”号填列）||49,286,158.59|58,472,792.68
其中：对联营企业和合营企业的投资收益||-18,767,264.19|44,429,368.83
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“-”号填列）|||
净敞口套期收益（损失以“－”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）||-149,059,569.37|-2,706,515.12
资产减值损失（损失以“-”号填列）||-3,844,656.13|-5,116,947.00
资产处置收益（损失以“-”号填列）||17,688,727.02|132,329.54
三、营业利润（亏损以“－”号填列）||-291,201,947.34|41,838,077.98
加：营业外收入||2,082,551.01|1,137,846.41
减：营业外支出||4,851,257.24|537,126.59
四、利润总额（亏损总额以“－”号填列）||-293,970,653.57|42,438,797.80
减：所得税费用||2,406,365.76|17,613,397.05
五、净利润（净亏损以“－”号填列）||-296,377,019.33|24,825,400.75
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||-296,377,019.33|24,825,400.75
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润||-266,454,906.80|55,018,583.76
2.少数股东损益||-29,922,112.53|-30,193,183.01
六、其他综合收益的税后净额|||
