page|78
项目|附 注|2021 年度|2020 年度
一、营业总收入|||4,568,174,605.60  4,798,816,953.10
其中：营业收入||4,568,174,605.60|4,798,816,953.10
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|||4,229,461,631.51  4,593,980,304.15
其中：营业成本||3,662,231,616.56|3,781,946,352.88
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||38,785,996.38|71,051,003.27
销售费用||241,182,909.82|362,464,456.67
管理费用||229,593,754.19|237,117,524.12
研发费用||3,357,733.60|3,507,075.11
财务费用||54,309,620.96|137,893,892.10
其中：利息费用||66,351,164.52|160,150,887.27
利息收入||14,425,850.41|30,138,539.59
加：其他收益||15,598,209.46|60,109,850.77
投资收益（损失以“－”号填列）||-13,570,407.14|136,444,710.50
其中：对联营企业和合营企业的投资收益||98,158.95|1,599,664.71
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||2,517,320.00|789,970.00
信用减值损失（损失以“-”号填列）||-11,347,309.17|-17,205,987.26
资产减值损失（损失以“-”号填列）||-19,122,518.96|-21,930,398.85
资产处置收益（损失以“－”号填列）||6,149,297.41|210,439,837.30
三、营业利润（亏损以“－”号填列）||318,937,565.69|573,484,631.41
加：营业外收入||1,165,018.84|4,408,105.39
减：营业外支出||5,588,615.35|38,024,535.86
四、利润总额（亏损总额以“－”号填列）||314,513,969.18|539,868,200.94
减：所得税费用||91,147,803.73|100,918,832.38
五、净利润（净亏损以“－”号填列）||223,366,165.45|438,949,368.56
（一）按经营持续性分类|||
page|79
1.持续经营净利润（净亏损以“－”号填列）||223,366,165.45|476,080,415.87
2.终止经营净利润（净亏损以“－”号填列）|||-37,131,047.31
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||223,304,693.71|435,734,627.67
2.少数股东损益（净亏损以“-”号填列）||61,471.74|3,214,740.89
六、其他综合收益的税后净额||-1,986,975.44|26,015,762.59
（一）归属母公司所有者的其他综合收益的税后净额||-1,986,975.44|26,015,762.59
1．不能重分类进损益的其他综合收益||2,091,077.01|24,602,382.72
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||2,091,077.01|24,602,382.72
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-4,078,052.45|1,413,379.87
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-4,078,052.45|1,413,379.87
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||221,379,190.01|464,965,131.15
（一）归属于母公司所有者的综合收益总额||221,317,718.27|461,750,390.26
（二）归属于少数股东的综合收益总额||61,471.74|3,214,740.89
八、每股收益：|||
（一）基本每股收益(元/股)||0.14|0.27
（二）稀释每股收益(元/股)||0.14|0.27
