page|112
||(除特别注明外，金额单位为人民币百万元)|||
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
资产|附注|合并|合并|公司|公司
流动资产|||||
货币资金|7|163,536|145,950|35,505|42,787
应收账款|8|56,659|52,325|7,429|8,412
应收款项融资|9|3,975|8,076|3,598|2,830
预付款项|10|14,598|21,626|6,273|8,861
其他应收款|11|39,554|26,834|4,327|14,738
存货|12|143,848|128,539|95,828|77,813
持有待售资产||-|42,615|-|-
其他流动资产|13|58,668|60,802|44,442|44,614
流动资产合计||480,838|486,767|197,402|200,055
非流动资产|||||
其他权益工具投资|14|1,176|910|388|427
长期股权投资|15|265,884|250,698|461,462|451,677
固定资产|16|418,837|415,988|259,790|264,241
油气资产|17|816,788|813,888|622,093|598,665
在建工程|18|223,671|222,215|150,829|142,470
使用权资产|19|139,359|144,338|61,889|66,765
无形资产|20|90,587|86,101|68,884|65,841
商誉|21|7,987|8,125|43|30
长期待摊费用|22|11,391|11,869|8,384|8,980
递延所得税资产|36|12,161|11,364|-|2,008
其他非流动资产|23|33,854|36,137|12,786|13,524
非流动资产合计||2,021,695|2,001,633|1,646,548|1,614,628
资产总计||2,502,533|2,488,400|1,843,950|1,814,683
page|113
||(除特别注明外，金额单位为人民币百万元)|||
||2021 年 12 月 31 日|2020 年 12 月 31 日|2021 年 12 月 31 日|2020 年 12 月 31 日
负债及股东权益|附注|合并|合并|公司|公司
流动负债|||||
短期借款|25|40,010|41,354|23,328|25,923
应付票据|26|20,089|19,313|19,369|18,203
应付账款|27|237,102|220,318|90,968|99,276
合同负债|28|78,481|91,477|57,698|59,877
应付职工薪酬|29|8,975|8,649|6,669|6,559
应交税费|30|76,774|63,724|51,615|45,769
其他应付款|31|28,493|56,250|72,324|74,496
持有待售负债||-|9,956|-|-
一年内到期的非流动负债|32|19,893|81,769|8,644|64,745
其他流动负债||8,341|12,608|5,918|1,791
流动负债合计||518,158|605,418|336,533|396,639
非流动负债|||||
长期借款|33|198,005|160,140|99,767|68,829
应付债券|34|89,170|91,239|85,000|87,000
租赁负债|19|123,222|122,644|47,976|47,983
预计负债|35|129,405|114,819|90,941|81,941
递延所得税负债|36|26,654|16,390|7,914|-
其他非流动负债||8,795|10,865|4,678|5,496
非流动负债合计||575,251|516,097|336,276|291,249
负债合计||1,093,409|1,121,515|672,809|687,888
股东权益|||||
股本|37|183,021|183,021|183,021|183,021
资本公积|38|127,375|127,222|127,207|127,044
专项储备||9,231|10,810|4,829|4,708
其他综合收益|56|(34,737)|(32,128)|250|455
盈余公积|39|211,970|203,557|200,878|192,465
未分配利润|40|766,955|722,939|654,956|619,102
归属于母公司股东权益合计||1,263,815|1,215,421|1,171,141|1,126,795
少数股东权益|41|145,309|151,464|-|-
股东权益合计||1,409,124|1,366,885|1,171,141|1,126,795
负债及股东权益总计||2,502,533|2,488,400|1,843,950|1,814,683
page|114
|(除特别注明外，金额单位为人民币百万元)||||
||2021 年度|2020 年度|2021 年度|2020 年度
项目|附注|合并|合并|公司|公司
营业收入|42|2,614,349|1,933,836|1,413,409|1,097,522
减：营业成本|42|(2,071,504)|(1,546,604)|(1,036,399)|(858,403)
税金及附加|43|(226,664)|(194,904)|(175,883)|(153,214)
销售费用|44|(71,295)|(71,476)|(48,777)|(49,707)
管理费用|45|(51,701)|(55,315)|(30,481)|(33,558)
研发费用|46|(16,729)|(15,746)|(12,613)|(11,748)
财务费用|47|(17,043)|(24,304)|(14,972)|(20,781)
其中：利息费用||(19,739)|(26,528)|(15,162)|(20,484)
利息收入||2,984|3,023|765|558
加：其他收益|48|14,251|9,889|12,274|6,976
投资收益|49|35,389|51,845|26,044|114,412
其中：对联营企业和合营企业的投资收益||13,267|3,533|10,604|5,314
信用减值损失|50|(353)|(341)|(905)|(143)
资产减值损失|51|(27,611)|(23,520)|(6,761)|(13,110)
资产处置收益|52|1,091|1,423|931|1,302
营业利润||182,180|64,783|125,867|79,548
加：营业外收入|53(a)|2,983|4,109|2,192|3,206
减：营业外支出|53(b)|(26,969)|(12,823)|(21,887)|(7,526)
利润总额||158,194|56,069|106,172|75,228
减：所得税费用|54|(43,507)|(22,588)|(22,039)|(12,483)
净利润||114,687|33,481|84,133|62,745
按经营持续性分类：|||||
持续经营净利润||114,687|33,481|84,133|62,745
终止经营净利润||-|-|-|-
按所有权归属分类：|||||
