page|5
香港代表处总代表：|魏方
联系地址：|香港金钟道 89 号力宝中心 2 座 3705 室
电话：|(852) 2899 2010
传真：|(852) 2899 2390
电子信箱：|hko@petrochina.com.hk
公司法定地址：|中国北京东城区安德路 16 号
邮政编码：|100011
公司办公地址：|中国北京东城区东直门北大街 9 号
邮政编码：|100007
公司注册地址：|中国北京东城区安德路 16 号
互联网网址：|http://www.petrochina.com.cn
公司电子信箱：|zhouyunpeng@petrochina.com.cn
|公司信息披露报纸名称：  A 股参阅《中国证券报》、《上海证券报》、《证
|券时报》、《证券日报》
登载公司年度报告的中国证监会指定网站的网址：http://www.sse.com.cn|
公司年度报告备置地点：中国北京东城区东直门北大街 9 号|
上市地点：|
A 股上市交易所：|上海证券交易所
A 股简称：|中国石油
A 股股票代码：|601857
H 股上市交易所：|香港联交所
H 股简称：|中国石油股份
H 股股票代号：|857
存托股份 ADS：|纽约证券交易所
股票代号：|PTR
