page|80
|附注|2019 年|2018 年
一、 经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,647,970,683|4,950,603,207
收到的税费返回||40,741,286|57,056,690
收到其他与经营活动有关的现金|五、48(1)|93,744,521|72,703,872
经营活动现金流入小计||4,782,456,490|5,080,363,769
购买商品、接受劳务支付的现金||1,338,542,601|1,383,945,233
支付给职工以及为职工支付的现金||576,928,850|544,742,974
支付的各项税费||1,115,582,679|1,111,980,499
支付其他与经营活动有关的现金|五、48(2)|913,564,336|1,063,716,317
经营活动现金流出小计||3,944,618,466|4,104,385,023
经营活动产生的现金流量净额|五、49(1)|837,838,024|975,978,746
二、 投资活动产生的现金流量：|||
收回投资收到的现金||234,722,614|400,000,000
取得投资收益收到的现金||1,809,786|3,445,895
处置固定资产、无形资产和其他长期资产收回的现金净额||6,334,375|19,967,431
投资活动现金流入小计||242,866,775|423,413,326
购建固定资产、无形资产和其他长期资产支付的现金||281,005,768|347,384,820
投资支付的现金||169,618,600|478,042,400
取得子公司及其他营业单位支付的现金净额||404,843|105,834,655
投资活动现金流出小计||451,029,212|931,261,875
投资活动产生的现金流量净额||(208,162,437)|(507,848,549)
page|81
|附注|2019 年|2018 年
三、 筹资活动产生的现金流量：|||
吸收投资收到的现金||-|2,050,000
其中：子公司吸收少数股东投资收到的现金||-|2,050,000
取得借款收到的现金||942,134,032|1,049,815,411
收到其他与筹资活动有关的现金|五、48(3)|-|62,468,259
筹资活动现金流入小计||942,134,032|1,114,333,670
偿还债务支付的现金||939,525,426|1,103,189,409
分配股利、利润或偿付利息支付的现金||462,455,473|397,351,813
支付其他与筹资活动有关的现金|五、48(4)|11,619,552|46,100,000
筹资活动现金流出小计||1,413,600,451|1,546,641,222
筹资活动产生的现金流量净额||(471,466,419)|(432,307,552)
四、 汇率变动对现金及现金等价物的影响||703,173|(9,851,585)
五、 现金及现金等价物净增加额|五、49(1)|158,912,341|25,971,060
加： 年初现金及现金等价物余额||1,206,860,334|1,180,889,274
六、 年末现金及现金等价物余额|五、49(2)|1,365,772,675|1,206,860,334
