page|88
项目|附注七|2020年度|2019年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||34,534,399,035.44|34,868,360,933.75
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||36,349,064.59|24,283,812.98
收到其他与经营活动有关的现金|78|675,203,166.58|565,859,504.60
经营活动现金流入小计||35,245,951,266.61|35,458,504,251.33
购买商品、接受劳务支付的现金||23,425,821,487.52|24,632,120,939.94
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||5,233,934,965.73|5,159,156,651.52
支付的各项税费||1,211,575,993.95|1,257,015,185.74
支付其他与经营活动有关的现金|78|1,231,804,635.82|1,478,942,873.29
经营活动现金流出小计||31,103,137,083.02|32,527,235,650.49
经营活动产生的现金流量净额||4,142,814,183.59|2,931,268,600.84
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,951,172,057.21|
取得投资收益收到的现金||205,545,484.72|164,221,822.89
处置固定资产、无形资产和其他长期资产收回的现金净额||8,889,099.14|24,507,741.70
page|89
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|78||200,000,000.00
投资活动现金流入小计||2,165,606,641.07|388,729,564.59
购建固定资产、无形资产和其他长期资产支付的现金||554,250,019.01|1,073,654,248.57
投资支付的现金||3,016,173,724.56|167,249,259.65
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|78||724,000,000.00
投资活动现金流出小计||3,570,423,743.57|1,964,903,508.22
投资活动产生的现金流量净额||-1,404,817,102.50|-1,576,173,943.63
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||115,728,425.00|3,816,103,418.60
其中：子公司吸收少数股东投资收到的现金||115,728,425.00|60,553,416.00
取得借款收到的现金||1,410,908,810.99|6,706,579,769.12
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||1,526,637,235.99|10,522,683,187.72
偿还债务支付的现金||1,848,238,137.28|10,326,378,400.00
分配股利、利润或偿付利息支付的现金||499,097,318.57|554,283,865.34
其中：子公司支付给少数股东的股利、利润||39,821,090.50|33,728,090.83
支付其他与筹资活动有关的现金|78|122,869,959.87|409,474,045.95
筹资活动现金流出小计||2,470,205,415.72|11,290,136,311.29
筹资活动产生的现金流量净额||-943,568,179.73|-767,453,123.57
四、汇率变动对现金及现金等价物的影响||-35,461,976.64|3,045,102.67
五、现金及现金等价物净增加额||1,758,966,924.72|590,686,636.31
加：期初现金及现金等价物余额||1,596,294,592.27|1,005,607,955.96
六、期末现金及现金等价物余额||3,355,261,516.99|1,596,294,592.27
