page|84
项目|附注七|2020 年度|2019 年度
一、营业总收入||33,208,279,836.46|33,463,292,568.99
其中：营业收入|61|33,208,279,836.46|33,463,292,568.99
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||31,564,842,475.57|32,249,633,977.65
其中：营业成本|61|28,863,925,969.14|29,390,739,692.06
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|62|146,256,235.42|172,611,312.11
销售费用|63|223,265,444.02|284,511,074.15
page|85
管理费用|64|1,377,856,871.90|1,400,334,629.26
研发费用|65|855,285,753.50|804,908,380.14
财务费用|66|98,252,201.59|196,528,889.93
其中：利息费用||77,652,567.68|207,504,898.50
利息收入||24,003,366.00|17,252,547.03
加：其他收益|67|214,290,305.87|247,521,763.79
投资收益（损失以“－”号填列）|68|306,837,287.52|292,214,997.77
其中：对联营企业和合营企业的投资收益||267,524,801.54|274,451,534.74
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|69||
公允价值变动收益（损失以“－”号填列）|70|2,620,874.76|3,532,493.15
信用减值损失（损失以“-”号填列）|71|-18,588,924.36|2,668,711.49
资产减值损失（损失以“-”号填列）|72|-83,947,626.18|-54,241,207.15
资产处置收益（损失以“－”号填列）|73|692,343.72|14,114,385.08
三、营业利润（亏损以“－”号填列）||2,065,341,622.22|1,719,469,735.47
加：营业外收入|74|80,423,636.69|31,987,106.76
减：营业外支出|75|47,845,094.64|27,871,486.05
四、利润总额（亏损总额以“－”号填列）||2,097,920,164.27|1,723,585,356.18
减：所得税费用|76|495,657,334.00|420,820,604.11
五、净利润（净亏损以“－”号填列）||1,602,262,830.27|1,302,764,752.07
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,602,262,830.27|1,302,764,752.07
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,521,590,346.75|1,233,051,275.73
2.少数股东损益（净亏损以“-”号填列）||80,672,483.52|69,713,476.34
六、其他综合收益的税后净额||-153,856,681.91|30,886,240.16
（一）归属母公司所有者的其他综合收益的税后净额||-153,851,090.11|30,915,460.30
1．不能重分类进损益的其他综合收益||-45,291,000.11|
page|86
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-45,291,000.11|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-108,560,090.00|30,915,460.30
（1）权益法下可转损益的其他综合收益||-4,937,060.73|975,162.82
（2）其他债权投资公允价值变动|||
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-103,623,029.27|29,940,297.48
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-5,591.80|-29,220.14
七、综合收益总额||1,448,406,148.36|1,333,650,992.23
（一）归属于母公司所有者的综合收益总额||1,367,739,256.64|1,263,966,736.03
（二）归属于少数股东的综合收益总额||80,666,891.72|69,684,256.20
八、每股收益：|||
（一）基本每股收益(元/股)||0.1497|0.1336
（二）稀释每股收益(元/股)||0.1497|0.1336
