page|74
编制单位:陕西康惠制药股份有限公司|||
|||单位:元    币种:人民币
项目|附注|2020 年 12 月 31 日|2019 年 12 月 31 日
流动资产：|||
货币资金|七、1|194,910,699.25|295,701,539.65
结算备付金|||
拆出资金|||
交易性金融资产|七、2|55,469,655.31|192,000,000.00
衍生金融资产|||
应收票据|七、4|23,027,209.89|34,961,708.46
应收账款|七、5|145,930,528.17|171,915,209.44
应收款项融资|七、6|8,708,531.79|11,683,065.67
预付款项|七、7|3,329,564.60|4,261,565.26
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|6,979,897.26|7,952,128.98
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|97,031,827.77|98,523,049.61
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、13|4,970,634.43|2,242,583.15
流动资产合计||540,358,548.47|819,240,850.22
page|75
|||陕西康惠制药股份有限公司 2020 年年度报告
长期股权投资|七、17|78,515,249.46|29,097,336.66
其他权益工具投资|七、18|34,766,754.10|23,602,505.92
其他非流动金融资产|||
投资性房地产|七、20|12,690,352.56|5,503,650.71
固定资产|七、21|68,941,561.79|64,638,293.19
在建工程|七、22|402,724,400.61|76,647,763.11
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、26|125,668,619.77|59,801,823.12
开发支出|七、27|8,346,743.32|10,508,945.03
商誉|七、28|19,981,033.75|15,114,529.45
长期待摊费用|七、29|1,326,483.78|171,682.88
递延所得税资产|七、30|4,050,236.49|3,852,543.19
其他非流动资产|七、31|9,544,827.84|22,498,528.41
非流动资产合计||770,856,263.47|311,437,601.67
资产总计||1,311,214,811.94|1,130,678,451.89
流动负债：|||
短期借款|七、32|14,540,000.00|15,960,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|104,100,683.40|47,776,727.77
预收款项|七、37||2,803,544.87
合同负债|七、38|4,897,888.06|
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|8,246,089.90|6,284,997.14
应交税费|七、40|6,148,049.16|9,411,638.15
page|76
|||陕西康惠制药股份有限公司 2020 年年度报告
其他应付款|七、41|21,084,563.20|16,605,039.76
其中：应付利息|||
应付股利||2,400,000.00|
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|24,266,739.52|6,720,000.00
其他流动负债|七、44|585,522.24|
流动负债合计||183,869,535.48|105,561,947.69
非流动负债：|||
保险合同准备金|||
长期借款|七、45|27,935,106.38|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、48|3,539,590.91|
长期应付职工薪酬|||
预计负债|||
递延收益|七、51|11,953,000.22|7,167,000.18
递延所得税负债|七、30|10,976,718.20|1,124,607.96
其他非流动负债|||
非流动负债合计||54,404,415.71|8,291,608.14
负债合计||238,273,951.19|113,853,555.83
所有者权益（或股东权益）：|||
实收资本（或股本）|七、53|99,880,000.00|99,880,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|412,016,831.13|412,016,831.13
减：库存股|||
其他综合收益|七、57|4,900,803.21|937,130.03
专项储备|||
page|77
|||陕西康惠制药股份有限公司 2020 年年度报告
盈余公积|七、59|52,320,653.09|49,012,332.34
一般风险准备|||
未分配利润|七、60|438,614,141.67|416,398,411.67
归属于母公司所有者权益|||
||1,007,732,429.10|978,244,705.17
（或股东权益）合计|||
少数股东权益||65,208,431.65|38,580,190.89
所有者权益（或股东权|||
||1,072,940,860.75|1,016,824,896.06
益）合计|||
负债和所有者权益（或|||
||1,311,214,811.94|1,130,678,451.89
股东权益）总计|||
