page|67
项目|附 注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||14,637,484,705.88|13,090,578,407.18
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金||1,313,033,168.09|743,167,401.44
经营活动现金流入小计||15,950,517,873.97|13,833,745,808.62
购买商品、接受劳务支付的现金||11,471,109,509.05|9,438,528,422.85
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,933,616,466.69|3,602,318,040.45
支付的各项税费||769,339,684.48|581,872,818.54
page|68
支付其他与经营活动有关的现金||414,253,998.05|1,309,015,524.59
经营活动现金流出小计||15,588,319,658.27|14,931,734,806.43
经营活动产生的现金流量净额||362,198,215.70|-1,097,988,997.81
二、投资活动产生的现金流量：|||
收回投资收到的现金||4,500,000.00|4,500,000.00
取得投资收益收到的现金||24,533,528.39|51,982,020.37
处置固定资产、无形资产和其他长期资产收回的现金净额||457,605.73|565,039.66
处置子公司及其他营业单位收到的现金净额|||9,670,000.00
收到其他与投资活动有关的现金||1,283,442,544.27|506,771,063.23
投资活动现金流入小计||1,312,933,678.39|573,488,123.26
购建固定资产、无形资产和其他长期资产支付的现金||51,156,183.61|28,664,273.60
投资支付的现金||189,686,929.14|62,114,507.58
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||9,132,616.67|
支付其他与投资活动有关的现金||7,661,491,220.44|4,882,332,479.05
投资活动现金流出小计||7,911,466,949.86|4,973,111,260.23
投资活动产生的现金流量净额||-6,598,533,271.47|-4,399,623,136.97
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||168,574,593.09|3,458,435,764.99
其中：子公司吸收少数股东投资收到的现金||168,574,593.09|617,618,617.22
取得借款收到的现金||11,151,383,962.53|8,458,370,169.92
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||11,319,958,555.62|11,916,805,934.91
偿还债务支付的现金||4,816,528,967.41|3,603,454,004.75
分配股利、利润或偿付利息支付的现金||976,718,503.90|612,685,776.09
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||10,000,000.00|2,087,282.70
筹资活动现金流出小计||5,803,247,471.31|4,218,227,063.54
筹资活动产生的现金流量净额||5,516,711,084.31|7,698,578,871.37
四、汇率变动对现金及现金等价物的影响||-337,656.38|1,381,433.99
五、现金及现金等价物净增加额||-719,961,627.84|2,202,348,170.58
加：期初现金及现金等价物余额||3,608,227,401.32|1,405,879,230.74
六、期末现金及现金等价物余额||2,888,265,773.48|3,608,227,401.32
