page|64
项目|附 注|2019 年度|2018 年度
一、营业总收入||21,427,094,520.39|20,212,764,671.81
其中：营业收入||21,427,094,520.39|20,212,764,671.81
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||19,887,316,893.75|18,888,523,716.63
其中：营业成本||19,236,451,739.01|18,301,657,409.09
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||103,397,275.78|128,934,424.80
销售费用||8,956,435.16|4,607,521.18
管理费用||398,850,835.38|334,049,509.86
研发费用||73,445,089.16|54,689,648.58
财务费用||66,215,519.26|64,585,203.12
其中：利息费用||185,416,827.88|136,764,551.06
利息收入||102,216,717.85|68,041,852.81
加：其他收益||10,622,628.74|4,003,698.02
投资收益（损失以“－”号填列）||29,102,596.12|35,791,361.19
其中：对联营企业和合营企业的投资收益||15,975,716.88|337,740.82
page|65
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||35,283,046.98|
信用减值损失（损失以“-”号填列）||-128,237,835.76|
资产减值损失（损失以“-”号填列）||-252,695.30|-98,912,220.40
资产处置收益（损失以“－”号填列）||-14,334.89|-224,503.10
三、营业利润（亏损以“－”号填列）||1,486,281,032.53|1,264,899,290.89
加：营业外收入||1,578,598.83|1,414,229.20
减：营业外支出||9,792,723.92|3,963,599.77
四、利润总额（亏损总额以“－”号填列）||1,478,066,907.44|1,262,349,920.32
减：所得税费用||444,736,822.66|319,429,896.27
五、净利润（净亏损以“－”号填列）||1,033,330,084.78|942,920,024.05
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,033,330,084.78|942,920,024.05
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,020,747,158.55|922,184,652.42
2.少数股东损益（净亏损以“-”号填列）||12,582,926.23|20,735,371.63
六、其他综合收益的税后净额||-11,376,266.54|-4,956,704.64
（一）归属母公司所有者的其他综合收益的税后净额||-11,376,266.54|-4,956,704.64
1．不能重分类进损益的其他综合收益||-3,634,113.04|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||-3,634,113.04|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-7,742,153.50|-4,956,704.64
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-7,742,153.50|-4,956,704.64
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||1,021,953,818.24|937,963,319.41
（一）归属于母公司所有者的综合收益总额||1,009,370,892.01|917,227,947.78
page|66
（二）归属于少数股东的综合收益总额||12,582,926.23|20,735,371.63
八、每股收益：|||
（一）基本每股收益(元/股)||0.67|0.64
（二）稀释每股收益(元/股)||0.67|0.64
