page|6
|第二节  公司简介和主要财务指标
一、  公司信息|
公司的中文名称|明阳智慧能源集团股份公司
公司的中文简称|明阳智能
公司的外文名称|Ming Yang Smart Energy Group Limited
公司的外文名称缩写|MYSE
公司的法定代表人|张传卫
二、  联系人和联系方式|
董事会秘书|证券事务代表
姓名 刘建军|郑洁珊
联系地址 广东省中山市火炬开发区火炬路22号|广东省中山市火炬开发区火炬路22号
电话 （010）50815010|（010）50815010
传真 （0760）28138974|（0760）28138974
电子信箱 liujianjun@mywind.com.cn|jessicazheng@mywind.com.cn
三、 基本情况简介|
公司注册地址|广东省中山市火炬开发区火炬路22号
公司注册地址的历史变更情况|不适用
公司办公地址|广东省中山市火炬开发区火炬路22号
公司办公地址的邮政编码|528400
公司网址|http://www.mywind.com.cn
电子信箱|myse@mywind.com.cn
四、 信息披露及备置地点|
|《中国证券报》(www.cs.com.cn)
|《上海证券报》（www.cnstock.com）
公司披露年度报告的媒体名称及网址|
|《证券时报》(www.stcn.com)
|《证券日报》(www.zqrb.cn)
公司披露年度报告的证券交易所网址|http://www.sse.com.cn/
公司年度报告备置地点|广东省中山市火炬开发区火炬路22号董事会办公室
