page|84
项目|附注|2021 年度|2020 年度
一、营业总收入||205,893,274.12|336,346,885.60
其中：营业收入|七、61|205,893,274.12|336,346,885.60
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||244,156,283.79|246,487,457.78
其中：营业成本|七、61|7,118,804.13|3,645,042.94
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、62|3,139,731.64|-14,959,213.98
销售费用|七、63|8,768,636.26|10,946,708.45
管理费用|七、64|198,986,609.62|204,842,108.75
研发费用|||
财务费用|七、66|26,142,502.14|42,012,811.62
其中：利息费用||28,273,917.95|33,588,725.76
利息收入||1,838,242.76|3,431,969.78
加：其他收益|七、67|406,541.36|8,505,642.46
投资收益（损失以“－”号填列）|七、68|13,061,748.44|16,168,520.91
其中：对联营企业和合营企业的投资收益||1,648,934.75|-1,235,633.27
以摊余成本计量的金融资产终止确认收益|||
page|85
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、70|165,380,859.14|11,298,215.28
信用减值损失（损失以“-”号填列）|七、71|-20,700,282.11|-18,014,576.94
资产减值损失（损失以“-”号填列）|||
资产处置收益（损失以“－”号填列）|七、73|91,404.53|-
三、营业利润（亏损以“－”号填列）||119,977,261.69|107,817,229.53
加：营业外收入|七、74|21,695.06|154,227.00
减：营业外支出|七、75|71,601,261.07|4,070,905.67
四、利润总额（亏损总额以“－”号填列）||48,397,695.68|103,900,550.86
减：所得税费用|七、76|-12,296,302.53|22,499,120.62
五、净利润（净亏损以“－”号填列）||60,693,998.21|81,401,430.24
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||60,693,998.21|81,401,430.24
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||62,101,615.70|86,759,426.38
2.少数股东损益（净亏损以“-”号填列）||-1,407,617.49|-5,357,996.14
六、其他综合收益的税后净额||-8,544,707.52|-24,670,566.82
（一）归属母公司所有者的其他综合收益的税后净额||-7,906,831.24|-22,706,830.40
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-7,906,831.24|-22,706,830.40
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
page|86
（3）金融资产重分类计入其他综合收益的金额|||
（4）其他债权投资信用减值准备|||
（5）现金流量套期储备|||
（6）外币财务报表折算差额||-7,906,831.24|-22,706,830.40
（7）其他|||
（二）归属于少数股东的其他综合收益的税后净额||-637,876.28|-1,963,736.42
七、综合收益总额||52,149,290.69|56,730,863.42
（一）归属于母公司所有者的综合收益总额||54,194,784.46|64,052,595.98
（二）归属于少数股东的综合收益总额||-2,045,493.77|-7,321,732.56
八、每股收益：|||
（一）基本每股收益(元/股)||0.1432|0.2001
（二）稀释每股收益(元/股)||0.1432|0.2001
