page|96
3. 合并利润表||
||单位：元
项目|2021 年度|2020 年度
一、营业总收入|30,963,931,672.48|30,127,421,045.60
其中：营业收入|738,524,708.15|819,256,875.23
利息收入|26,346,843,444.95|26,138,121,649.56
已赚保费|2,156,508,345.44|1,298,188,385.30
手续费及佣金收入|1,722,055,173.94|1,871,854,135.51
二、营业总成本|21,466,132,940.09|19,807,564,647.57
其中：营业成本|499,228,029.10|526,678,971.44
利息支出|14,125,991,282.13|14,739,813,301.83
手续费及佣金支出|1,566,508,357.86|278,621,313.53
退保金||
赔付支出净额|577,286,785.85|505,078,607.80
提取保险责任合同准备金净额|1,011,949,401.49|305,262,224.90
保单红利支出||
分保费用|158,541,943.25|180,609,232.09
税金及附加|229,394,996.64|207,716,913.74
销售费用||
管理费用|3,114,163,168.77|2,774,377,316.02
研发费用||
财务费用|183,068,975.00|289,406,766.22
其中：利息费用|213,427,438.68|290,749,862.18
利息收入|30,909,877.76|7,759,078.60
加：其他收益|142,575,173.34|67,067,770.52
投资收益（损失以“-”号填列）|4,735,380,908.09|5,074,972,046.19
其中：对联营企业和合营企业的投资收益|1,157,892,157.58|979,025,931.18
以摊余成本计量的金融资产终止确认收益|42,226,309.89|
汇兑收益（损失以“-”号填列）|46,962,419.80|105,572,538.31
page|97
||续表
项目|2021 年度|2020 年度
净敞口套期收益（损失以“-”号填列）||
公允价值变动收益（损失以“-”号填列）|1,360,620,157.51|1,420,427,331.41
信用减值损失（损失以“-”号填列）|-2,281,216,121.78|1,455,167,820.23
资产减值损失（损失以“-”号填列）||-740,686.00
资产处置收益（损失以“-”号填列）|-4,121,772.37|521,693.37
三、营业利润（亏损以“-”号填列）|13,497,999,496.98|18,442,844,912.06
加：营业外收入|6,749,399.90|-22,578,812.31
减：营业外支出|20,590,993.69|4,710,103.53
四、利润总额（亏损总额以“-”号填列）|13,484,157,903.19|18,415,555,996.22
减：所得税费用|1,895,442,409.49|3,298,148,944.26
五、净利润（净亏损以“-”号填列）|11,588,715,493.70|15,117,407,051.96
（一）按经营持续性分类||
1. 持续经营净利润（净亏损以“-”号填列）|11,588,715,493.70|15,117,407,051.96
2. 终止经营净利润（净亏损以“-”号填列）||
（二）按所有权归属分类||
1. 归属于母公司股东的净利润|5,550,119,961.32|7,843,863,454.16
2. 少数股东损益|6,038,595,532.38|7,273,543,597.80
六、其他综合收益的税后净额|-164,229,833.88|-1,210,134,662.74
归属母公司所有者的其他综合收益的税后净额|259,854,423.53|2,366,443.29
（一）不能重分类进损益的其他综合收益|-47,493,114.94|159,891,195.86
1. 重新计量设定受益计划变动额||
2. 权益法下不能转损益的其他综合收益||
3. 其他权益工具投资公允价值变动|-47,493,114.94|159,891,195.86
4. 企业自身信用风险公允价值变动||
5. 其他||
（二）将重分类进损益的其他综合收益|307,347,538.47|-157,524,752.57
1. 权益法下可转损益的其他综合收益|422,086,850.91|513,512,790.89
