page|132
项目|附注八|2019年度|2018年度
一、经营活动产生的现金流量：|||
代理买卖证券收到的现金净额||25,442,481,378.66|(2,617,679,429.14)
回购业务资金净增加额||60,238,372,004.08|55,548,196,980.44
拆入资金净增加额||13,809,000,000.00|9,465,000,000.00
收取利息、手续费及佣金的现金||31,243,412,368.31|30,004,980,004.77
收到其他与经营活动有关的现金|59|18,562,420,020.41|28,794,386,788.40
经营活动现金流入小计||149,295,685,771.46|121,194,884,344.47
为交易目的而持有的金融资产净增加额||72,555,112,259.27|42,822,984,756.55
融出资金净增加额||13,774,918,686.56|(18,363,699,059.83)
支付利息、手续费及佣金的现金||7,988,149,276.01|7,115,809,753.71
支付给职工及为职工支付的现金||9,754,885,247.20|10,156,676,420.53
支付的各项税费||6,648,465,358.94|4,378,326,701.12
支付其他与经营活动有关的现金|60|16,597,786,024.04|17,431,281,145.92
经营活动现金流出小计||127,319,316,852.02|63,541,379,718.00
经营活动产生的现金流量净额|63|21,976,368,919.44|57,653,504,626.47
二、投资活动产生的现金流量：|||
收回投资收到的现金||15,861,873,058.18|33,323,439.68
取得投资收益收到的现金||1,269,043,170.11|374,454,086.36
收到其他与投资活动有关的现金||5,896,648.67|8,692,209.40
投资活动现金流入小计||17,136,812,876.96|416,469,735.44
处置子公司及其他营业单位收到的现金净额|62|78,522,543.59|-
取得子公司及其他营业单位支付的现金净额|61|-|97,391,043.65
投资支付的现金||382,166,666.67|20,655,181,864.28
购建固定资产、无形资产和其他长期资产支付的现金||428,597,523.19|458,560,689.34
投资活动现金流出小计||889,286,733.45|21,211,133,597.27
投资活动产生的现金流量净额||16,247,526,143.51|(20,794,663,861.83)
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||-|1,000,000.00
其中：子公司吸收少数股东投资收到的现金||-|1,000,000.00
取得借款收到的现金||15,408,410,973.74|20,355,184,142.56
发行债券收到的现金||102,389,150,033.55|119,587,233,598.22
收到其他与筹资活动有关的现金||74,766,051.00|-
筹资活动现金流入小计||117,872,327,058.29|139,943,417,740.78
偿还债务支付的现金||106,666,040,783.09|148,877,938,751.82
分配股利、利润或偿付利息支付的现金||10,321,723,539.90|11,740,465,994.42
其中：子公司支付给少数股东的股利、利润||188,063,724.99|193,262,956.00
支付其他与筹资活动有关的现金||1,043,343,582.40|1,076,302,451.24
page|133
筹资活动现金流出小计||118,031,107,905.39|161,694,707,197.48
筹资活动产生的现金流量净额||(158,780,847.10)|(21,751,289,456.70)
四、汇率变动对现金及现金等价物的影响||(238,522,490.53)|1,563,432,156.86
五、现金及现金等价物净增加额||37,826,591,725.32|16,670,983,464.80
加：期初现金及现金等价物余额||139,996,275,376.36|123,325,291,911.56
六、期末现金及现金等价物余额|64|177,822,867,101.68|139,996,275,376.36
