page|92
项  目|附注|2021 年度|2020 年度
一、营业收入|四(37)|848,258|768,070
减：营业成本|四(37)|603,905|533,260
税金及附加|四(38)|2,722|2,462
销售费用|四(39)|48,243|49,949
管理费用|四(40)|53,228|51,395
研发费用|四(41)|15,577|11,099
财务费用|四(42)|(8,096)|(7,905)
其中：利息费用||2,679|2,996
利息收入||10,934|11,027
加：其他收益|四(44)|6,367|4,441
投资收益|四(45)|13,396|13,093
其中：对联营企业和合营企业的投资收益||11,300|12,334
公允价值变动收益|四(46)|4,102|2,894
减：信用减值损失|四(47)|4,171|5,084
资产减值损失|四(48)|379|218
|||
二、营业利润||151,994|142,936
加：营业外收入|四(49)|2,600|2,049
减：营业外支出|四(50)|2,621|2,632
|||
三、利润总额||151,973|142,353
减：所得税费用|四(51)|35,878|34,219
|||
四、净利润||116,095|108,134
按经营持续性分类|||
持续经营净利润||116,095|108,134
终止经营净利润||-|-
|||
按所有权归属分类|||
归属于母公司股东的净利润||115,937|107,837
少数股东损益||158|297
page|93
项  目|附注|2021 年度|2020 年度
五、其他综合亏损的税后净额|四(33)|(1,643)|(1,575)
归属于母公司股东的其他综合亏损的税后净额||(1,643)|(1,575)
-  不能重分类进损益的其他综合（亏损）/收益||(542)|925
重新计量设定受益计划变动额||(143)|-
权益法下不能转损益的其他综合收益/（亏损）||7|(32)
其他权益工具投资公允价值变动||(406)|957
-  将重分类进损益的其他综合亏损||(1,101)|(2,500)
权益法下可转损益的其他综合亏损||(219)|(585)
外币财务报表折算差额||(882)|(1,915)
归属于少数股东的其他综合收益的税后净额||-|-
|||
六、综合收益总额||114,452|106,559
归属于母公司股东的综合收益总额||114,294|106,262
归属于少数股东的综合收益总额||158|297
|||
七、每股收益|||
基本每股收益（人民币元）|四(52)|5.66|5.27
稀释每股收益（人民币元）|四(52)|5.66|5.27
